onset	duration	stim	trial_number	trial_type	trial_structure	trial_length	sequential_position	probe_type	probe	probe_position	response_correct	response_key	response_time
0.05649999999999977	0.0	+	1	noun	phrase	1	1	nomatch	grenier	-1	1	p	0.60976
0.5397999999999996	0.2	hbfd	1	noun	phrase	1	2	nomatch	grenier	-1	1	p	0.60976
0.7397999999999954	0.0	+	1	noun	phrase	1	3	nomatch	grenier	-1	1	p	0.60976
1.139800000000001	0.2	dthz	1	noun	phrase	1	4	nomatch	grenier	-1	1	p	0.60976
1.3397999999999968	0.0	+	1	noun	phrase	1	5	nomatch	grenier	-1	1	p	0.60976
1.7396999999999991	0.2	fml	1	noun	phrase	1	6	nomatch	grenier	-1	1	p	0.60976
1.9396999999999949	0.0	+	1	noun	phrase	1	7	nomatch	grenier	-1	1	p	0.60976
2.3397000000000006	0.2	qbxmglz	1	noun	phrase	1	8	nomatch	grenier	-1	1	p	0.60976
2.5396999999999963	0.0	+	1	noun	phrase	1	9	nomatch	grenier	-1	1	p	0.60976
2.9395999999999987	0.2	blanc	1	noun	phrase	1	10	nomatch	grenier	-1	1	p	0.60976
3.1396000000000015	0.0	+	1	noun	phrase	1	11	nomatch	grenier	-1	1	p	0.60976
3.5396	0.0	+	1	noun	phrase	1	12	nomatch	grenier	-1	1	p	0.60976
5.5394000000000005	0.0	GRENIER	1	noun	phrase	1	13	nomatch	grenier	-1	1	p	0.60976
6.205999999999996	0.0	+	1	noun	phrase	1	14	nomatch	grenier	-1	1	p	0.60976
6.1492	0.0	[response]	1	noun	phrase	1	15	nomatch	grenier	-1	1	p	0.60976
7.9392	0.0	+	2	noun	phrase	1	1	match	petit	5	1	y	0.5364
8.489099999999993	0.2	flstvq	2	noun	phrase	1	2	match	petit	5	1	y	0.5364
8.689099999999996	0.0	+	2	noun	phrase	1	3	match	petit	5	1	y	0.5364
9.089100000000002	0.2	ckl	2	noun	phrase	1	4	match	petit	5	1	y	0.5364
9.289100000000005	0.0	+	2	noun	phrase	1	5	match	petit	5	1	y	0.5364
9.688999999999993	0.2	blzh	2	noun	phrase	1	6	match	petit	5	1	y	0.5364
9.888999999999996	0.0	+	2	noun	phrase	1	7	match	petit	5	1	y	0.5364
10.289000000000001	0.2	xpnkzqbr	2	noun	phrase	1	8	match	petit	5	1	y	0.5364
10.489000000000004	0.0	+	2	noun	phrase	1	9	match	petit	5	1	y	0.5364
10.888899999999992	0.2	petit	2	noun	phrase	1	10	match	petit	5	1	y	0.5364
11.088899999999995	0.0	+	2	noun	phrase	1	11	match	petit	5	1	y	0.5364
11.488900000000001	0.0	+	2	noun	phrase	1	12	match	petit	5	1	y	0.5364
13.488699999999994	0.0	PETIT	2	noun	phrase	1	13	match	petit	5	1	y	0.5364
14.088700000000003	0.0	+	2	noun	phrase	1	14	match	petit	5	1	y	0.5364
14.025100000000009	0.0	[response]	2	noun	phrase	1	15	match	petit	5	1	y	0.5364
15.888499999999993	0.0	+	3	noun	list	4	1	match	ainsi	5	1	y	0.89269
16.438500000000005	0.2	qrlzxjk	3	noun	list	4	2	match	ainsi	5	1	y	0.89269
16.638400000000004	0.0	+	3	noun	list	4	3	match	ainsi	5	1	y	0.89269
17.038399999999996	0.2	pour	3	noun	list	4	4	match	ainsi	5	1	y	0.89269
17.2384	0.0	+	3	noun	list	4	5	match	ainsi	5	1	y	0.89269
17.638400000000004	0.2	peut	3	noun	list	4	6	match	ainsi	5	1	y	0.89269
17.838300000000004	0.0	+	3	noun	list	4	7	match	ainsi	5	1	y	0.89269
18.238299999999995	0.2	grenier	3	noun	list	4	8	match	ainsi	5	1	y	0.89269
18.438299999999998	0.0	+	3	noun	list	4	9	match	ainsi	5	1	y	0.89269
18.838300000000004	0.2	ainsi	3	noun	list	4	10	match	ainsi	5	1	y	0.89269
19.038200000000003	0.0	+	3	noun	list	4	11	match	ainsi	5	1	y	0.89269
19.438199999999995	0.0	+	3	noun	list	4	12	match	ainsi	5	1	y	0.89269
21.438000000000002	0.0	AINSI	3	noun	list	4	13	match	ainsi	5	1	y	0.89269
22.387900000000002	0.0	+	3	noun	list	4	14	match	ainsi	5	1	y	0.89269
22.330699999999993	0.0	[response]	3	noun	list	4	15	match	ainsi	5	1	y	0.89269
23.8378	0.0	+	4	noun	list	2	1	match	loin	5	1	y	0.62287
24.3878	0.2	crljvpm	4	noun	list	2	2	match	loin	5	1	y	0.62287
24.5878	0.0	+	4	noun	list	2	3	match	loin	5	1	y	0.62287
24.987700000000004	0.2	dthz	4	noun	list	2	4	match	loin	5	1	y	0.62287
25.187699999999992	0.0	+	4	noun	list	2	5	match	loin	5	1	y	0.62287
25.587699999999998	0.2	vp	4	noun	list	2	6	match	loin	5	1	y	0.62287
25.787599999999998	0.0	+	4	noun	list	2	7	match	loin	5	1	y	0.62287
26.187600000000003	0.2	boîtier	4	noun	list	2	8	match	loin	5	1	y	0.62287
26.387599999999992	0.0	+	4	noun	list	2	9	match	loin	5	1	y	0.62287
26.787599999999998	0.2	loin	4	noun	list	2	10	match	loin	5	1	y	0.62287
26.987499999999997	0.0	+	4	noun	list	2	11	match	loin	5	1	y	0.62287
27.387500000000003	0.0	+	4	noun	list	2	12	match	loin	5	1	y	0.62287
29.387299999999996	0.0	LOIN	4	noun	list	2	13	match	loin	5	1	y	0.62287
30.0706	0.0	+	4	noun	list	2	14	match	loin	5	1	y	0.62287
30.010199999999998	0.0	[response]	4	noun	list	2	15	match	loin	5	1	y	0.62287
31.787099999999995	0.0	+	5	noun	list	3	1	nomatch	son	-1	1	p	0.6667
32.33709999999999	0.2	kcht	5	noun	list	3	2	nomatch	son	-1	1	p	0.6667
32.537099999999995	0.0	+	5	noun	list	3	3	nomatch	son	-1	1	p	0.6667
32.937	0.2	hkr	5	noun	list	3	4	nomatch	son	-1	1	p	0.6667
33.137	0.0	+	5	noun	list	3	5	nomatch	son	-1	1	p	0.6667
