onset	duration	stim	trial_number	trial_type	trial_structure	trial_length	sequential_position	probe_type	probe	probe_position	response_correct	response_key	response_time
0.06299999999999528	0.0	+	1	verb	list	3	1	match	bleu	5	1	y	0.6549600000000001
0.5463000000000022	0.2	zqvkfl	1	verb	list	3	2	match	bleu	5	1	y	0.6549600000000001
0.746299999999998	0.0	+	1	verb	list	3	3	match	bleu	5	1	y	0.6549600000000001
1.1462000000000003	0.2	cnjt	1	verb	list	3	4	match	bleu	5	1	y	0.6549600000000001
1.346199999999996	0.0	+	1	verb	list	3	5	match	bleu	5	1	y	0.6549600000000001
1.7462000000000018	0.2	leur	1	verb	list	3	6	match	bleu	5	1	y	0.6549600000000001
1.9461999999999975	0.0	+	1	verb	list	3	7	match	bleu	5	1	y	0.6549600000000001
2.3461	0.2	patiner	1	verb	list	3	8	match	bleu	5	1	y	0.6549600000000001
2.5460999999999956	0.0	+	1	verb	list	3	9	match	bleu	5	1	y	0.6549600000000001
2.9461000000000013	0.2	bleu	1	verb	list	3	10	match	bleu	5	1	y	0.6549600000000001
3.146099999999997	0.0	+	1	verb	list	3	11	match	bleu	5	1	y	0.6549600000000001
3.5460999999999956	0.0	+	1	verb	list	3	12	match	bleu	5	1	y	0.6549600000000001
5.545899999999996	0.0	BLEU	1	verb	list	3	13	match	bleu	5	1	y	0.6549600000000001
6.262499999999996	0.0	+	1	verb	list	3	14	match	bleu	5	1	y	0.6549600000000001
6.200899999999997	0.0	[response]	1	verb	list	3	15	match	bleu	5	1	y	0.6549600000000001
7.945700000000002	0.0	+	2	verb	list	2	1	nomatch	danser	-1	1	p	0.60665
8.4957	0.2	rltnfcz	2	verb	list	2	2	nomatch	danser	-1	1	p	0.60665
8.695700000000002	0.0	+	2	verb	list	2	3	nomatch	danser	-1	1	p	0.60665
9.095599999999997	0.2	kvlx	2	verb	list	2	4	nomatch	danser	-1	1	p	0.60665
9.2956	0.0	+	2	verb	list	2	5	nomatch	danser	-1	1	p	0.60665
9.695599999999999	0.2	mwvt	2	verb	list	2	6	nomatch	danser	-1	1	p	0.60665
9.895600000000002	0.0	+	2	verb	list	2	7	nomatch	danser	-1	1	p	0.60665
10.295499999999997	0.2	rouler	2	verb	list	2	8	nomatch	danser	-1	1	p	0.60665
