onset	duration	stim	trial_number	trial_type	trial_structure	trial_length	sequential_position	probe_type	probe	probe_position	response_correct	response_key	response_time
0.06530000000000058	0.0	+	1	verb	phrase	2	1	match	tard	5	1	p	0.52742
0.5484000000000009	0.2	jxtzvnl	1	verb	phrase	2	2	match	tard	5	1	p	0.52742
0.7483000000000004	0.0	+	1	verb	phrase	2	3	match	tard	5	1	p	0.52742
1.1480999999999995	0.2	bzsw	1	verb	phrase	2	4	match	tard	5	1	p	0.52742
1.347999999999999	0.0	+	1	verb	phrase	2	5	match	tard	5	1	p	0.52742
1.747799999999998	0.2	tk	1	verb	phrase	2	6	match	tard	5	1	p	0.52742
1.9476999999999975	0.0	+	1	verb	phrase	2	7	match	tard	5	1	p	0.52742
2.3474999999999966	0.2	patiner	1	verb	phrase	2	8	match	tard	5	1	p	0.52742
2.5474999999999994	0.0	+	1	verb	phrase	2	9	match	tard	5	1	p	0.52742
2.9472999999999985	0.2	tard	1	verb	phrase	2	10	match	tard	5	1	p	0.52742
3.147199999999998	0.0	+	1	verb	phrase	2	11	match	tard	5	1	p	0.52742
3.546999999999997	0.0	+	1	verb	phrase	2	12	match	tard	5	1	p	0.52742
5.546099999999996	0.0	TARD	1	verb	phrase	2	13	match	tard	5	1	p	0.52742
6.129199999999997	0.0	+	1	verb	phrase	2	14	match	tard	5	1	p	0.52742
6.073499999999996	0.0	[response]	1	verb	phrase	2	15	match	tard	5	1	p	0.52742
7.944999999999993	0.0	+	2	noun	phrase	4	1	match	leur	3	1	p	0.64293
8.494799999999998	0.2	mvpjbw	2	noun	phrase	4	2	match	leur	3	1	p	0.64293
8.694699999999997	0.0	+	2	noun	phrase	4	3	match	leur	3	1	p	0.64293
9.095100000000002	0.2	avec	2	noun	phrase	4	4	match	leur	3	1	p	0.64293
9.311799999999991	0.0	+	2	noun	phrase	4	5	match	leur	3	1	p	0.64293
9.694500000000005	0.2	leur	2	noun	phrase	4	6	match	leur	3	1	p	0.64293
9.894199999999998	0.0	+	2	noun	phrase	4	7	match	leur	3	1	p	0.64293
10.294600000000003	0.2	nouveau	2	noun	phrase	4	8	match	leur	3	1	p	0.64293
10.493899999999996	0.0	+	2	noun	phrase	4	9	match	leur	3	1	p	0.64293
10.893699999999995	0.2	grenier	2	noun	phrase	4	10	match	leur	3	1	p	0.64293
11.093599999999995	0.0	+	2	noun	phrase	4	11	match	leur	3	1	p	0.64293
11.493399999999994	0.0	+	2	noun	phrase	4	12	match	leur	3	1	p	0.64293
13.492499999999993	0.0	LEUR	2	noun	phrase	4	13	match	leur	3	1	p	0.64293
14.225799999999992	0.0	+	2	noun	phrase	4	14	match	leur	3	1	p	0.64293
14.135400000000004	0.0	[response]	2	noun	phrase	4	15	match	leur	3	1	p	0.64293
15.891400000000004	0.0	+	3	noun	list	1	1	match	vite	5	1	p	0.64919
16.441199999999995	0.2	wfbr	3	noun	list	1	2	match	vite	5	1	p	0.64919
16.641099999999994	0.0	+	3	noun	list	1	3	match	vite	5	1	p	0.64919
17.040899999999993	0.2	gjml	3	noun	list	1	4	match	vite	5	1	p	0.64919
17.240799999999993	0.0	+	3	noun	list	1	5	match	vite	5	1	p	0.64919
17.640599999999992	0.2	tk	3	noun	list	1	6	match	vite	5	1	p	0.64919
17.84049999999999	0.0	+	3	noun	list	1	7	match	vite	5	1	p	0.64919
18.2406	0.2	dtbqws	3	noun	list	1	8	match	vite	5	1	p	0.64919
18.441000000000003	0.0	+	3	noun	list	1	9	match	vite	5	1	p	0.64919
18.840599999999995	0.2	vite	3	noun	list	1	10	match	vite	5	1	p	0.64919
19.040300000000002	0.0	+	3	noun	list	1	11	match	vite	5	1	p	0.64919
19.439899999999994	0.0	+	3	noun	list	1	12	match	vite	5	1	p	0.64919
21.438900000000004	0.0	VITE	3	noun	list	1	13	match	vite	5	1	p	0.64919
22.155199999999994	0.0	+	3	noun	list	1	14	match	vite	5	1	p	0.64919
22.088099999999997	0.0	[response]	3	noun	list	1	15	match	vite	5	1	p	0.64919
23.8378	0.0	+	4	noun	list	3	1	nomatch	leur	-1	1	y	1.4159
24.387599999999992	0.2	pdn	4	noun	list	3	2	nomatch	leur	-1	1	y	1.4159
24.58749999999999	0.0	+	4	noun	list	3	3	nomatch	leur	-1	1	y	1.4159
24.987300000000005	0.2	dsmq	4	noun	list	3	4	nomatch	leur	-1	1	y	1.4159
25.187200000000004	0.0	+	4	noun	list	3	5	nomatch	leur	-1	1	y	1.4159
25.587000000000003	0.2	va	4	noun	list	3	6	nomatch	leur	-1	1	y	1.4159
25.786900000000003	0.0	+	4	noun	list	3	7	nomatch	leur	-1	1	y	1.4159
26.1875	0.2	grenier	4	noun	list	3	8	nomatch	leur	-1	1	y	1.4159
26.387199999999993	0.0	+	4	noun	list	3	9	nomatch	leur	-1	1	y	1.4159
26.7872	0.2	ainsi	4	noun	list	3	10	nomatch	leur	-1	1	y	1.4159
26.987099999999998	0.0	+	4	noun	list	3	11	nomatch	leur	-1	1	y	1.4159
27.386200000000002	0.0	+	4	noun	list	3	12	nomatch	leur	-1	1	y	1.4159
29.385800000000003	0.0	LEUR	4	noun	list	3	13	nomatch	leur	-1	1	y	1.4159
30.867999999999995	0.0	+	4	noun	list	3	14	nomatch	leur	-1	1	y	1.4159
30.801699999999997	0.0	[response]	4	noun	list	3	15	nomatch	leur	-1	1	y	1.4159
31.7842	0.0	+	5	noun	phrase	3	1	match	noir	5	1	p	0.6804500000000001
32.3339	0.2	gbw	5	noun	phrase	3	2	match	noir	5	1	p	0.6804500000000001
32.5339	0.0	+	5	noun	phrase	3	3	match	noir	5	1	p	0.6804500000000001
32.9337	0.2	tfbq	5	noun	phrase	3	4	match	noir	5	1	p	0.6804500000000001
33.1336	0.0	+	5	noun	phrase	3	5	match	noir	5	1	p	0.6804500000000001
33.5501	0.2	son	5	noun	phrase	3	6	match	noir	5	1	p	0.6804500000000001
33.75059999999999	0.0	+	5	noun	phrase	3	7	match	noir	5	1	p	0.6804500000000001
34.1502	0.2	rocher	5	noun	phrase	3	8	match	noir	5	1	p	0.6804500000000001
34.3497	0.0	+	5	noun	phrase	3	9	match	noir	5	1	p	0.6804500000000001
34.7495	0.2	noir	5	noun	phrase	3	10	match	noir	5	1	p	0.6804500000000001
34.9494	0.0	+	5	noun	phrase	3	11	match	noir	5	1	p	0.6804500000000001
35.349199999999996	0.0	+	5	noun	phrase	3	12	match	noir	5	1	p	0.6804500000000001
37.348299999999995	0.0	NOIR	5	noun	phrase	3	13	match	noir	5	1	p	0.6804500000000001
38.0814	0.0	+	5	noun	phrase	3	14	match	noir	5	1	p	0.6804500000000001
38.028800000000004	0.0	[response]	5	noun	phrase	3	15	match	noir	5	1	p	0.6804500000000001
39.747299999999996	0.0	+	6	noun	list	4	1	match	tablier	4	1	p	0.64598
