onset	duration	stim	trial_number	trial_type	trial_structure	trial_length	sequential_position	probe_type	probe	probe_position	response_correct	response_key	response_time
0.06339999999999435	0.0	+	1	noun	list	2	1	match	casier	4	1	y	0.4926400000000001
0.5464999999999947	0.2	ndkbfhq	1	noun	list	2	2	match	casier	4	1	y	0.4926400000000001
0.7464999999999975	0.0	+	1	noun	list	2	3	match	casier	4	1	y	0.4926400000000001
1.1462999999999965	0.2	qmjf	1	noun	list	2	4	match	casier	4	1	y	0.4926400000000001
1.346199999999996	0.0	+	1	noun	list	2	5	match	casier	4	1	y	0.4926400000000001
1.7459999999999951	0.2	sjkg	1	noun	list	2	6	match	casier	4	1	y	0.4926400000000001
1.9458999999999946	0.0	+	1	noun	list	2	7	match	casier	4	1	y	0.4926400000000001
2.3456999999999937	0.2	casier	1	noun	list	2	8	match	casier	4	1	y	0.4926400000000001
2.5456999999999965	0.0	+	1	noun	list	2	9	match	casier	4	1	y	0.4926400000000001
2.9454999999999956	0.2	vite	1	noun	list	2	10	match	casier	4	1	y	0.4926400000000001
3.145399999999995	0.0	+	1	noun	list	2	11	match	casier	4	1	y	0.4926400000000001
3.545199999999994	0.0	+	1	noun	list	2	12	match	casier	4	1	y	0.4926400000000001
5.5443	0.0	CASIER	1	noun	list	2	13	match	casier	4	1	y	0.4926400000000001
6.094099999999997	0.0	+	1	noun	list	2	14	match	casier	4	1	y	0.4926400000000001
6.037000000000006	0.0	[response]	1	noun	list	2	15	match	casier	4	1	y	0.4926400000000001
7.943299999999994	0.0	+	2	noun	list	1	1	match	plus	5	1	y	0.49174
8.492999999999995	0.2	dspfj	2	noun	list	1	2	match	plus	5	1	y	0.49174
8.692899999999995	0.0	+	2	noun	list	1	3	match	plus	5	1	y	0.49174
9.092699999999994	0.2	xjng	2	noun	list	1	4	match	plus	5	1	y	0.49174
9.292599999999993	0.0	+	2	noun	list	1	5	match	plus	5	1	y	0.49174
9.692499999999995	0.2	qtk	2	noun	list	1	6	match	plus	5	1	y	0.49174
9.892399999999995	0.0	+	2	noun	list	1	7	match	plus	5	1	y	0.49174
10.292199999999994	0.2	jbmldz	2	noun	list	1	8	match	plus	5	1	y	0.49174
10.492099999999994	0.0	+	2	noun	list	1	9	match	plus	5	1	y	0.49174
