onset	duration	stim	block_number	block_duration	block_condition	sequential_position
0.06380000000000052	0.3	zo	1	18.4	pseudo	1
0.3470000000000084	0.3	pourpes	1	18.4	pseudo	2
0.7469000000000108	0.3	iz	1	18.4	pseudo	3
1.1467000000000098	0.3	faq	1	18.4	pseudo	4
1.5465000000000089	0.3	co	1	18.4	pseudo	5
1.946300000000008	0.3	og	1	18.4	pseudo	6
2.346100000000007	0.3	danus	1	18.4	pseudo	7
2.7460000000000093	0.3	ucé	1	18.4	pseudo	8
3.1458000000000084	0.3	i	1	18.4	pseudo	9
3.5456000000000074	0.3	cleule	1	18.4	pseudo	10
3.9454000000000065	0.3	ren	1	18.4	pseudo	11
4.3452000000000055	0.3	taildes	1	18.4	pseudo	12
4.7450000000000045	2.0	+	1	18.4	pseudo	13
6.761300000000006	0.3	qe	1	18.4	pseudo	14
7.144200000000012	0.3	jonêler	1	18.4	pseudo	15
7.5438000000000045	0.3	oot	1	18.4	pseudo	16
7.9436000000000035	0.3	celgartiépoir	1	18.4	pseudo	17
8.343400000000003	0.3	zow	1	18.4	pseudo	18
8.743200000000002	0.3	séleques	1	18.4	pseudo	19
9.143	0.3	ow	1	18.4	pseudo	20
9.542900000000003	0.3	siftilde	1	18.4	pseudo	21
9.942700000000002	0.3	hen	1	18.4	pseudo	22
10.342500000000001	0.3	ausconlai	1	18.4	pseudo	23
10.7423	0.3	ub	1	18.4	pseudo	24
11.142100000000013	0.3	kué	1	18.4	pseudo	25
11.542000000000002	2.0	+	1	18.4	pseudo	26
13.5411	0.3	ow	1	18.4	pseudo	27
13.958100000000002	0.3	juslere	1	18.4	pseudo	28
14.390800000000013	0.3	béme	1	18.4	pseudo	29
14.790900000000008	0.3	iz	1	18.4	pseudo	30
15.157700000000006	0.3	sbié	1	18.4	pseudo	31
15.540200000000013	0.3	fe	1	18.4	pseudo	32
15.940000000000012	0.3	aq	1	18.4	pseudo	33
16.33980000000001	0.3	ovver	1	18.4	pseudo	34
16.73960000000001	0.3	acoucution	1	18.4	pseudo	35
17.13940000000001	0.3	os	1	18.4	pseudo	36
17.539200000000008	0.3	tenver	1	18.4	pseudo	37
17.93910000000001	0.3	rub	1	18.4	pseudo	38
18.33890000000001	2.0	+	1	18.4	pseudo	39
20.338000000000008	8.0	+	1	18.4	pseudo	40
28.53450000000001	0.3	le	2	18.4	sentence	1
28.984400000000008	0.3	chorégraphe	2	18.4	sentence	2
29.35090000000001	0.3	réunit	2	18.4	sentence	3
29.750400000000013	0.3	les	2	18.4	sentence	4
30.150200000000012	0.3	danseurs	2	18.4	sentence	5
30.55000000000001	0.3	qui	2	18.4	sentence	6
30.94980000000001	0.3	veulent	2	18.4	sentence	7
31.34960000000001	0.3	faire	2	18.4	sentence	8
31.749500000000012	0.3	partie	2	18.4	sentence	9
32.14930000000001	0.3	du	2	18.4	sentence	10
32.54910000000001	0.3	prochain	2	18.4	sentence	11
32.94890000000001	0.3	ballet	2	18.4	sentence	12
33.34870000000001	0.3	cliquez	2	18.4	sentence	13
34.08170000000001	2.0	+	2	18.4	sentence	14
35.34780000000001	0.3	le	2	18.4	sentence	15
35.69770000000001	0.3	garçon	2	18.4	sentence	16
36.0977	0.3	choisit	2	18.4	sentence	17
36.5313	0.3	un	2	18.4	sentence	18
36.897400000000005	0.3	costume	2	18.4	sentence	19
37.29700000000001	0.3	de	2	18.4	sentence	20
37.69680000000001	0.3	chasseur	2	18.4	sentence	21
38.09660000000001	0.3	de	2	18.4	sentence	22
38.49640000000001	0.3	grands	2	18.4	sentence	23
38.89620000000001	0.3	crocodiles	2	18.4	sentence	24
39.29600000000001	0.3	du	2	18.4	sentence	25
39.69590000000001	0.3	nil	2	18.4	sentence	26
40.09570000000001	2.0	+	2	18.4	sentence	27
42.094800000000006	0.3	il	2	18.4	sentence	28
42.49460000000002	0.3	pâlit	2	18.4	sentence	29
42.89440000000002	0.3	en	2	18.4	sentence	30
43.29420000000002	0.3	écoutant	2	18.4	sentence	31
43.69400000000002	0.3	les	2	18.4	sentence	32
44.0941	0.3	détails	2	18.4	sentence	33
44.52760000000001	0.3	de	2	18.4	sentence	34
44.89360000000002	0.3	la	2	18.4	sentence	35
45.293800000000005	0.3	mort	2	18.4	sentence	36
45.693100000000015	0.3	de	2	18.4	sentence	37
46.09300000000002	0.3	son	2	18.4	sentence	38
46.49350000000001	0.3	épouse	2	18.4	sentence	39
46.892600000000016	2.0	+	2	18.4	sentence	40
48.892300000000006	8.0	+	2	18.4	sentence	41
57.138000000000005	0.3	fe	3	18.4	pseudo	1
57.554400000000015	0.3	i	3	18.4	pseudo	2
57.95430000000002	0.3	teute	3	18.4	pseudo	3
58.3374	0.3	zà	3	18.4	pseudo	4
58.7372	0.3	agenmir	3	18.4	pseudo	5
59.1704	0.3	oq	3	18.4	pseudo	6
59.553799999999995	0.3	za	3	18.4	pseudo	7
59.9701	0.3	nerftéfin	3	18.4	pseudo	8
60.3365	0.3	he	3	18.4	pseudo	9
60.7363	0.3	alr	3	18.4	pseudo	10
61.1361	0.3	qe	3	18.4	pseudo	11
61.536	0.3	décone	3	18.4	pseudo	12
61.95240000000001	2.0	+	3	18.4	pseudo	13
63.93550000000002	0.3	za	3	18.4	pseudo	14
64.40180000000001	0.3	bart	3	18.4	pseudo	15
64.768	0.3	zà	3	18.4	pseudo	16
65.16820000000001	0.3	aflé	3	18.4	pseudo	17
65.55080000000001	0.3	za	3	18.4	pseudo	18
65.95060000000001	0.3	beôle	3	18.4	pseudo	19
66.35040000000001	0.3	sbû	3	18.4	pseudo	20
66.75030000000001	0.3	skuis	3	18.4	pseudo	21
67.15010000000001	0.3	ux	3	18.4	pseudo	22
67.54990000000001	0.3	grompetsir	3	18.4	pseudo	23
67.9497	0.3	mês	3	18.4	pseudo	24
68.3495	0.3	heusila	3	18.4	pseudo	25
68.74950000000001	2.0	+	3	18.4	pseudo	26
70.7484	0.3	alte	3	18.4	pseudo	27
71.1483	0.3	hochaudtres	3	18.4	pseudo	28
71.5481	0.3	os	3	18.4	pseudo	29
71.96460000000002	0.3	sqoce	3	18.4	pseudo	30
72.3477	0.3	kia	3	18.4	pseudo	31
72.7475	0.3	cinone	3	18.4	pseudo	32
73.1474	0.3	dri	3	18.4	pseudo	33
73.5472	0.3	prengard	3	18.4	pseudo	34
73.947	0.3	ow	3	18.4	pseudo	35
74.3468	0.3	isatre	3	18.4	pseudo	36
74.7466	0.3	ps	3	18.4	pseudo	37
75.1465	0.3	forgne	3	18.4	pseudo	38
75.5463	2.0	+	3	18.4	pseudo	39
77.5454	8.0	+	3	18.4	pseudo	40
85.7422	0.3	le	4	18.4	sentence	1
86.17490000000001	0.3	rat	4	18.4	sentence	2
86.5413	0.3	sort	4	18.4	sentence	3
86.9411	0.3	de	4	18.4	sentence	4
87.3409	0.3	son	4	18.4	sentence	5
87.7407	0.3	trou	4	18.4	sentence	6
88.1406	0.3	creusé	4	18.4	sentence	7
88.5404	0.3	dans	4	18.4	sentence	8
88.9402	0.3	le	4	18.4	sentence	9
89.34	0.3	mur	4	18.4	sentence	10
89.7398	0.3	du	4	18.4	sentence	11
90.15700000000001	0.3	salon	4	18.4	sentence	12
90.5563	2.0	+	4	18.4	sentence	13
92.53900000000002	0.3	il	4	18.4	sentence	14
92.9889	0.3	a	4	18.4	sentence	15
93.33860000000001	0.3	brisé	4	18.4	sentence	16
93.75470000000001	0.3	le	4	18.4	sentence	17
94.1379	0.3	bouchon	4	18.4	sentence	18
94.5377	0.3	de	4	18.4	sentence	19
94.95410000000001	0.3	la	4	18.4	sentence	20
95.3373	0.3	bouteille	4	18.4	sentence	21
95.75380000000001	0.3	de	4	18.4	sentence	22
96.1369	0.3	jus	4	18.4	sentence	23
96.5368	0.3	de	4	18.4	sentence	24
96.9871	0.3	raisin	4	18.4	sentence	25
97.37	2.0	+	4	18.4	sentence	26
99.3355	0.3	le	4	18.4	sentence	27
99.75200000000001	0.3	magicien	4	18.4	sentence	28
100.1351	0.3	fait	4	18.4	sentence	29
100.5349	0.3	disparaître	4	18.4	sentence	30
100.9514	0.3	les	4	18.4	sentence	31
101.3512	0.3	bonbons	4	18.4	sentence	32
101.75110000000001	0.3	étalés	4	18.4	sentence	33
102.1515	0.3	sur	4	18.4	sentence	34
102.5507	0.3	le	4	18.4	sentence	35
102.9505	0.3	sol	4	18.4	sentence	36
103.3503	0.3	du	4	18.4	sentence	37
103.7502	0.3	théâtre	4	18.4	sentence	38
104.15	2.0	+	4	18.4	sentence	39
106.1491	8.0	+	4	18.4	sentence	40
114.34530000000001	0.3	sow	5	18.4	pseudo	1
114.74520000000001	0.3	ipé	5	18.4	pseudo	2
115.14500000000001	0.3	culployer	5	18.4	pseudo	3
115.5781	0.3	kai	5	18.4	pseudo	4
115.94460000000001	0.3	indain	5	18.4	pseudo	5
116.34440000000001	0.3	um	5	18.4	pseudo	6
116.74430000000001	0.3	briponmisi	5	18.4	pseudo	7
117.14410000000001	0.3	mégusais	5	18.4	pseudo	8
117.54390000000001	0.3	zà	5	18.4	pseudo	9
117.9437	0.3	rentofla	5	18.4	pseudo	10
118.36070000000001	0.3	guèque	5	18.4	pseudo	11
118.79400000000001	0.3	mébant	5	18.4	pseudo	12
119.14330000000001	2.0	+	5	18.4	pseudo	13
121.1423	0.3	stis	5	18.4	pseudo	14
