onset	duration	stim	block_number	block_duration	block_condition	sequential_position
0.060000000000002274	0.3	il	1	18.4	sentence	1
0.3432999999999993	0.3	déteste	1	18.4	sentence	2
0.7599000000000018	0.3	la	1	18.4	sentence	3
1.1432000000000073	0.3	couleur	1	18.4	sentence	4
1.5431999999999988	0.3	des	1	18.4	sentence	5
1.9432000000000045	0.3	carreaux	1	18.4	sentence	6
2.343100000000007	0.3	de	1	18.4	sentence	7
2.7597999999999985	0.3	sa	1	18.4	sentence	8
3.143100000000004	0.3	deuxième	1	18.4	sentence	9
3.5597000000000065	0.3	salle	1	18.4	sentence	10
3.942999999999998	0.3	de	1	18.4	sentence	11
4.3430000000000035	0.3	bain	1	18.4	sentence	12
4.743000000000009	2.0	+	1	18.4	sentence	13
6.742800000000003	0.3	ils	1	18.4	sentence	14
7.159500000000008	0.3	ont	1	18.4	sentence	15
7.5428	0.3	construit	1	18.4	sentence	16
7.942700000000002	0.3	une	1	18.4	sentence	17
8.342700000000008	0.3	cabane	1	18.4	sentence	18
8.742700000000013	0.3	de	1	18.4	sentence	19
9.142600000000016	0.3	branchages	1	18.4	sentence	20
9.559300000000007	0.3	couverts	1	18.4	sentence	21
9.942599999999999	0.3	de	1	18.4	sentence	22
10.342500000000001	0.3	feuilles	1	18.4	sentence	23
10.742500000000007	0.3	encore	1	18.4	sentence	24
11.142500000000013	0.3	vertes	1	18.4	sentence	25
11.5591	2.0	+	1	18.4	sentence	26
13.542300000000012	0.3	la	1	18.4	sentence	27
13.9589	0.3	petite	1	18.4	sentence	28
14.342199999999991	0.3	regarde	1	18.4	sentence	29
14.742199999999997	0.3	comment	1	18.4	sentence	30
15.142200000000003	0.3	son	1	18.4	sentence	31
15.55879999999999	0.3	père	1	18.4	sentence	32
15.94210000000001	0.3	grille	1	18.4	sentence	33
16.342100000000016	0.3	les	1	18.4	sentence	34
16.742099999999994	0.3	épis	1	18.4	sentence	35
17.141999999999996	0.3	de	1	18.4	sentence	36
17.558600000000013	0.3	maïs	1	18.4	sentence	37
17.942000000000007	0.3	mur	1	18.4	sentence	38
18.34190000000001	2.0	+	1	18.4	sentence	39
20.341800000000006	8.0	+	1	18.4	sentence	40
28.5411	0.3	na	2	18.4	pseudo	1
28.974400000000003	0.3	transle	2	18.4	pseudo	2
29.357699999999994	0.3	qe	2	18.4	pseudo	3
29.7577	0.3	calanes	2	18.4	pseudo	4
30.157700000000006	0.3	jui	2	18.4	pseudo	5
30.55770000000001	0.3	enmavons	2	18.4	pseudo	6
30.957600000000014	0.3	na	2	18.4	pseudo	7
31.35759999999999	0.3	ar	2	18.4	pseudo	8
31.757599999999996	0.3	limcialu	2	18.4	pseudo	9
32.1575	0.3	schot	2	18.4	pseudo	10
32.557500000000005	0.3	oq	2	18.4	pseudo	11
32.95750000000001	0.3	stra	2	18.4	pseudo	12
33.35740000000001	0.3	cliquez	2	18.4	pseudo	13
34.0574	2.0	+	2	18.4	pseudo	14
35.340599999999995	0.3	lo	2	18.4	pseudo	15
35.707300000000004	0.3	imcutière	2	18.4	pseudo	16
36.107200000000006	0.3	salsant	2	18.4	pseudo	17
36.5239	0.3	nêt	2	18.4	pseudo	18
36.90720000000002	0.3	bonretvé	2	18.4	pseudo	19
37.30709999999999	0.3	monmantende	2	18.4	pseudo	20
37.7071	0.3	um	2	18.4	pseudo	21
38.107699999999994	0.3	uo	2	18.4	pseudo	22
38.52369999999999	0.3	piedtoinaît	2	18.4	pseudo	23
38.90700000000001	0.3	gi	2	18.4	pseudo	24
39.307000000000016	0.3	za	2	18.4	pseudo	25
39.706999999999994	0.3	anent	2	18.4	pseudo	26
40.106899999999996	2.0	+	2	18.4	pseudo	27
42.09010000000001	0.3	chlec	2	18.4	pseudo	28
42.52369999999999	0.3	ludre	2	18.4	pseudo	29
42.9067	0.3	océe	2	18.4	pseudo	30
43.306700000000006	0.3	scû	2	18.4	pseudo	31
43.70660000000001	0.3	groil	2	18.4	pseudo	32
44.106600000000014	0.3	i	2	18.4	pseudo	33
44.5232	0.3	co	2	18.4	pseudo	34
44.9066	0.3	arpécoup	2	18.4	pseudo	35
45.3065	0.3	lété	2	18.4	pseudo	36
45.706500000000005	0.3	lonme	2	18.4	pseudo	37
46.10650000000001	0.3	na	2	18.4	pseudo	38
46.5231	0.3	têser	2	18.4	pseudo	39
46.90639999999999	2.0	+	2	18.4	pseudo	40
48.8896	8.0	+	2	18.4	pseudo	41
57.15559999999999	0.3	elle	3	18.4	sentence	1
57.57220000000001	0.3	a	3	18.4	sentence	2
57.9555	0.3	oublié	3	18.4	sentence	3
58.355500000000006	0.3	de	3	18.4	sentence	4
58.7722	0.3	prévenir	3	18.4	sentence	5
59.15550000000002	0.3	la	3	18.4	sentence	6
59.572100000000006	0.3	deuxième	3	18.4	sentence	7
59.9554	0.3	vendeuse	3	18.4	sentence	8
60.3554	0.3	du	3	18.4	sentence	9
60.77199999999999	0.3	magasin	3	18.4	sentence	10
61.15530000000001	0.3	de	3	18.4	sentence	11
61.55530000000002	0.3	chaussures	3	18.4	sentence	12
61.95519999999999	2.0	+	3	18.4	sentence	13
63.955100000000016	0.3	la	3	18.4	sentence	14
64.3717	0.3	cuisinière	3	18.4	sentence	15
64.77170000000001	0.3	fait	3	18.4	sentence	16
65.155	0.3	griller	3	18.4	sentence	17
65.57160000000002	0.3	des	3	18.4	sentence	18
65.95490000000001	0.3	noisettes	3	18.4	sentence	19
66.35490000000001	0.3	qui	3	18.4	sentence	20
66.7715	0.3	répandent	3	18.4	sentence	21
67.1548	0.3	une	3	18.4	sentence	22
67.5548	0.3	odeur	3	18.4	sentence	23
67.9548	0.3	très	3	18.4	sentence	24
68.35480000000001	0.3	appétissante	3	18.4	sentence	25
68.7714	2.0	+	3	18.4	sentence	26
70.75460000000001	0.3	le	3	18.4	sentence	27
71.1712	0.3	notaire	3	18.4	sentence	28
71.5712	0.3	consulte	3	18.4	sentence	29
71.9545	0.3	les	3	18.4	sentence	30
72.3545	0.3	lourds	3	18.4	sentence	31
72.77110000000002	0.3	volumes	3	18.4	sentence	32
73.15440000000001	0.3	empilés	3	18.4	sentence	33
73.55440000000002	0.3	sur	3	18.4	sentence	34
73.95430000000002	0.3	les	3	18.4	sentence	35
74.3543	0.3	étagères	3	18.4	sentence	36
74.77090000000001	0.3	de	3	18.4	sentence	37
75.1542	0.3	métal	3	18.4	sentence	38
75.5709	2.0	+	3	18.4	sentence	39
77.5541	8.0	+	3	18.4	sentence	40
85.7534	0.3	pace	4	18.4	pseudo	1
86.17009999999999	0.3	gisse	4	18.4	pseudo	2
86.57	0.3	gi	4	18.4	pseudo	3
86.95330000000001	0.3	ass	4	18.4	pseudo	4
87.35329999999999	0.3	zau	4	18.4	pseudo	5
87.7699	0.3	aguë	4	18.4	pseudo	6
88.1532	0.3	ol	4	18.4	pseudo	7
88.5532	0.3	ui	4	18.4	pseudo	8
88.95320000000001	0.3	skal	4	18.4	pseudo	9
89.35310000000001	0.3	zé	4	18.4	pseudo	10
89.7698	0.3	vrût	4	18.4	pseudo	11
90.1531	0.3	smais	4	18.4	pseudo	12
90.56970000000001	2.0	+	4	18.4	pseudo	13
92.5529	0.3	lo	4	18.4	pseudo	14
92.96950000000001	0.3	vagenles	4	18.4	pseudo	15
93.3528	0.3	aq	4	18.4	pseudo	16
93.75280000000001	0.3	heuvotion	4	18.4	pseudo	17
94.15280000000001	0.3	iz	4	18.4	pseudo	18
94.55270000000002	0.3	balténetin	4	18.4	pseudo	19
94.9527	0.3	lo	4	18.4	pseudo	20
95.3527	0.3	zé	4	18.4	pseudo	21
95.7527	0.3	shuise	4	18.4	pseudo	22
96.1526	0.3	efsés	4	18.4	pseudo	23
96.55260000000001	0.3	na	4	18.4	pseudo	24
96.95260000000002	0.3	ocna	4	18.4	pseudo	25
97.35249999999999	2.0	+	4	18.4	pseudo	26
99.35240000000002	0.3	gi	4	18.4	pseudo	27
99.769	0.3	gait	4	18.4	pseudo	28
100.1523	0.3	i	4	18.4	pseudo	29
100.5523	0.3	scel	4	18.4	pseudo	30
100.9522	0.3	zop	4	18.4	pseudo	31
101.35220000000001	0.3	zaï	4	18.4	pseudo	32
101.75220000000002	0.3	protue	4	18.4	pseudo	33
102.1522	0.3	sharc	4	18.4	pseudo	34
102.56880000000001	0.3	cévu	4	18.4	pseudo	35
102.9521	0.3	us	4	18.4	pseudo	36
103.35210000000001	0.3	busrete	4	18.4	pseudo	37
103.75200000000001	0.3	sbogne	4	18.4	pseudo	38
104.15200000000002	2.0	+	4	18.4	pseudo	39
106.15190000000001	8.0	+	4	18.4	pseudo	40
114.3512	0.3	elle	5	18.4	sentence	1
114.7679	0.3	demande	5	18.4	sentence	2
115.15120000000002	0.3	que	5	18.4	sentence	3
115.55109999999999	0.3	son	5	18.4	sentence	4
115.9511	0.3	frère	5	18.4	sentence	5
116.3511	0.3	fasse	5	18.4	sentence	6
116.76769999999999	0.3	des	5	18.4	sentence	7
117.15100000000001	0.3	ronds	5	18.4	sentence	8
117.5676	0.3	de	5	18.4	sentence	9
117.95089999999999	0.3	fumée	5	18.4	sentence	10
118.3509	0.3	de	5	18.4	sentence	11
118.7509	0.3	cigarette	5	18.4	sentence	12
119.15090000000001	2.0	+	5	18.4	sentence	13
121.1507	0.3	le	5	18.4	sentence	14
121.5507	0.3	jardinier	5	18.4	sentence	15
121.95060000000001	0.3	redoute	5	18.4	sentence	16
122.35060000000001	0.3	les	5	18.4	sentence	17
122.75059999999999	0.3	brusques	5	18.4	sentence	18
123.1505	0.3	changements	5	18.4	sentence	19
123.56720000000001	0.3	de	5	18.4	sentence	20
123.9505	0.3	la	5	18.4	sentence	21
124.35050000000001	0.3	température	5	18.4	sentence	22
124.75040000000001	0.3	de	5	18.4	sentence	23
125.15039999999999	0.3	la	5	18.4	sentence	24
125.56700000000001	0.3	serre	5	18.4	sentence	25
125.9503	2.0	+	5	18.4	sentence	26
127.9502	0.3	le	5	18.4	sentence	27
128.3668	0.3	garagiste	5	18.4	sentence	28
128.7501	0.3	parvient	5	18.4	sentence	29
129.1501	0.3	à	5	18.4	sentence	30
129.5667	0.3	extraire	5	18.4	sentence	31
129.95000000000002	0.3	le	5	18.4	sentence	32
130.35	0.3	clou	5	18.4	sentence	33
130.75	0.3	enfoncé	5	18.4	sentence	34
131.1499	0.3	dans	5	18.4	sentence	35
131.5666	0.3	le	5	18.4	sentence	36
131.9499	0.3	pneu	5	18.4	sentence	37
132.34980000000002	0.3	avant	5	18.4	sentence	38
132.7498	2.0	+	5	18.4	sentence	39
134.74970000000002	8.0	+	5	18.4	sentence	40
142.949	0.3	og	6	18.4	pseudo	1
143.3657	0.3	tentiprès	6	18.4	pseudo	2
143.7656	0.3	lèser	6	18.4	pseudo	3
144.14890000000003	0.3	co	6	18.4	pseudo	4
144.56560000000002	0.3	nument	6	18.4	pseudo	5
144.94889999999998	0.3	ui	6	18.4	pseudo	6
145.34879999999998	0.3	ull	6	18.4	pseudo	7
145.76550000000003	0.3	cefin	6	18.4	pseudo	8
146.1488	0.3	pna	6	18.4	pseudo	9
146.5654	0.3	piter	6	18.4	pseudo	10
146.94870000000003	0.3	zuoi	6	18.4	pseudo	11
147.3487	0.3	hagné	6	18.4	pseudo	12
147.74869999999999	2.0	+	6	18.4	pseudo	13
149.74849999999998	0.3	uc	6	18.4	pseudo	14
150.1651	0.3	jiel	6	18.4	pseudo	15
150.56510000000003	0.3	folvedie	6	18.4	pseudo	16
150.9484	0.3	ar	6	18.4	pseudo	17
151.34840000000003	0.3	duff	6	18.4	pseudo	18
151.765	0.3	hai	6	18.4	pseudo	19
152.1483	0.3	tuhuvisir	6	18.4	pseudo	20
152.565	0.3	zû	6	18.4	pseudo	21
152.94830000000002	0.3	elfercibe	6	18.4	pseudo	22
153.34820000000002	0.3	spu	6	18.4	pseudo	23
153.7482	0.3	faipadre	6	18.4	pseudo	24
154.14820000000003	0.3	preslu	6	18.4	pseudo	25
154.54809999999998	2.0	+	6	18.4	pseudo	26
156.548	0.3	ko	6	18.4	pseudo	27
156.96460000000002	0.3	auches	6	18.4	pseudo	28
157.34789999999998	0.3	vilou	6	18.4	pseudo	29
157.76460000000003	0.3	uc	6	18.4	pseudo	30
158.1479	0.3	femvêtits	6	18.4	pseudo	31
158.5645	0.3	pud	6	18.4	pseudo	32
158.94780000000003	0.3	speute	6	18.4	pseudo	33
159.3478	0.3	za	6	18.4	pseudo	34
159.7477	0.3	intièta	6	18.4	pseudo	35
160.1477	0.3	ar	6	18.4	pseudo	36
160.54790000000003	0.3	zy	6	18.4	pseudo	37
160.94760000000002	0.3	schompte	6	18.4	pseudo	38
161.3476	2.0	+	6	18.4	pseudo	39
163.34750000000003	8.0	+	6	18.4	pseudo	40
171.54680000000002	0.3	le	7	18.4	sentence	1
171.9635	0.3	promeneur	7	18.4	sentence	2
172.34680000000003	0.3	lâche	7	18.4	sentence	3
172.74670000000003	0.3	la	7	18.4	sentence	4
173.1467	0.3	laisse	7	18.4	sentence	5
173.56330000000003	0.3	de	7	18.4	sentence	6
173.9466	0.3	son	7	18.4	sentence	7
174.34660000000002	0.3	chien	7	18.4	sentence	8
174.7466	0.3	qui	7	18.4	sentence	9
175.14659999999998	0.3	aboie	7	18.4	sentence	10
175.54649999999998	0.3	sans	7	18.4	sentence	11
175.94650000000001	0.3	arrêt	7	18.4	sentence	12
176.3465	2.0	+	7	18.4	sentence	13
178.34629999999999	0.3	le	7	18.4	sentence	14
178.7629	0.3	fermier	7	18.4	sentence	15
179.14620000000002	0.3	dit	7	18.4	sentence	16
179.5629	0.3	que	7	18.4	sentence	17
179.94619999999998	0.3	sa	7	18.4	sentence	18
180.3462	0.3	fille	7	18.4	sentence	19
180.7461	0.3	souhaite	7	18.4	sentence	20
181.1461	0.3	apprendre	7	18.4	sentence	21
181.54610000000002	0.3	à	7	18.4	sentence	22
181.94600000000003	0.3	traire	7	18.4	sentence	23
182.346	0.3	les	7	18.4	sentence	24
182.74599999999998	0.3	vaches	7	18.4	sentence	25
183.14589999999998	0.3	appuyez	7	18.4	sentence	26
184.0292	2.0	+	7	18.4	sentence	27
185.1458	0.3	les	7	18.4	sentence	28
185.49580000000003	0.3	étoiles	7	18.4	sentence	29
185.89569999999998	0.3	brillent	7	18.4	sentence	30
186.2957	0.3	en	7	18.4	sentence	31
186.69580000000002	0.3	émettant	7	18.4	sentence	32
187.0956	0.3	une	7	18.4	sentence	33
187.49560000000002	0.3	lumière	7	18.4	sentence	34
187.8956	0.3	inconstante	7	18.4	sentence	35
188.2955	0.3	au	7	18.4	sentence	36
188.69549999999998	0.3	cours	7	18.4	sentence	37
189.09550000000002	0.3	du	7	18.4	sentence	38
189.4955	0.3	temps	7	18.4	sentence	39
189.8954	2.0	+	7	18.4	sentence	40
191.89530000000002	8.0	+	7	18.4	sentence	41
200.14460000000003	0.3	qe	8	18.4	pseudo	1
200.56130000000002	0.3	imtare	8	18.4	pseudo	2
200.94459999999998	0.3	os	8	18.4	pseudo	3
201.34449999999998	0.3	croinerme	8	18.4	pseudo	4
201.74450000000002	0.3	ox	8	18.4	pseudo	5
202.1445	0.3	avate	8	18.4	pseudo	6
202.54450000000003	0.3	zû	8	18.4	pseudo	7
202.94440000000003	0.3	cluff	8	18.4	pseudo	8
203.3444	0.3	strui	8	18.4	pseudo	9
203.76100000000002	0.3	apcote	8	18.4	pseudo	10
204.1443	0.3	re	8	18.4	pseudo	11
204.56099999999998	0.3	mugue	8	18.4	pseudo	12
204.9443	2.0	+	8	18.4	pseudo	13
206.9441	0.3	na	8	18.4	pseudo	14
207.3607	0.3	shuand	8	18.4	pseudo	15
207.7441	0.3	vaigle	8	18.4	pseudo	16
208.144	0.3	pec	8	18.4	pseudo	17
208.54399999999998	0.3	uo	8	18.4	pseudo	18
208.94400000000002	0.3	faper	8	18.4	pseudo	19
209.34390000000002	0.3	stertre	8	18.4	pseudo	20
209.7439	0.3	ub	8	18.4	pseudo	21
210.14390000000003	0.3	olie	8	18.4	pseudo	22
210.5605	0.3	ox	8	18.4	pseudo	23
210.9438	0.3	vuste	8	18.4	pseudo	24
211.3438	0.3	désuilé	8	18.4	pseudo	25
211.7437	2.0	+	8	18.4	pseudo	26
213.74360000000001	0.3	co	8	18.4	pseudo	27
214.16020000000003	0.3	monvate	8	18.4	pseudo	28
214.5435	0.3	i	8	18.4	pseudo	29
214.94350000000003	0.3	flipble	8	18.4	pseudo	30
215.3435	0.3	ps	8	18.4	pseudo	31
215.7434	0.3	ryan	8	18.4	pseudo	32
216.14339999999999	0.3	he	8	18.4	pseudo	33
216.56	0.3	er	8	18.4	pseudo	34
