onset	duration	stim	trial_number	trial_type	trial_structure	trial_length	sequential_position	probe_type	probe	probe_position	response_correct	response_key	response_time
0.0654000000000039	0.0	+	1	verb	phrase	1	1	match	plus	5	1	p	0.5915200000000002
0.5488	0.2	bzxlstj	1	verb	phrase	1	2	match	plus	5	1	p	0.5915200000000002
0.7486999999999995	0.0	+	1	verb	phrase	1	3	match	plus	5	1	p	0.5915200000000002
1.1487000000000052	0.2	cxg	1	verb	phrase	1	4	match	plus	5	1	p	0.5915200000000002
1.348700000000001	0.0	+	1	verb	phrase	1	5	match	plus	5	1	p	0.5915200000000002
1.7486999999999995	0.2	xv	1	verb	phrase	1	6	match	plus	5	1	p	0.5915200000000002
1.948600000000006	0.0	+	1	verb	phrase	1	7	match	plus	5	1	p	0.5915200000000002
2.3486000000000047	0.2	fkjrqdc	1	verb	phrase	1	8	match	plus	5	1	p	0.5915200000000002
2.5486000000000004	0.0	+	1	verb	phrase	1	9	match	plus	5	1	p	0.5915200000000002
2.948600000000006	0.2	plus	1	verb	phrase	1	10	match	plus	5	1	p	0.5915200000000002
3.148600000000002	0.0	+	1	verb	phrase	1	11	match	plus	5	1	p	0.5915200000000002
3.548500000000004	0.0	+	1	verb	phrase	1	12	match	plus	5	1	p	0.5915200000000002
5.548400000000001	0.0	PLUS	1	verb	phrase	1	13	match	plus	5	1	p	0.5915200000000002
6.198300000000003	0.0	+	1	verb	phrase	1	14	match	plus	5	1	p	0.5915200000000002
6.139900000000004	0.0	[response]	1	verb	phrase	1	15	match	plus	5	1	p	0.5915200000000002
7.948200000000007	0.0	+	2	verb	list	4	1	match	son	3	1	p	0.54213
8.4981	0.2	nwb	2	verb	list	4	2	match	son	3	1	p	0.54213
8.698100000000004	0.0	+	2	verb	list	4	3	match	son	3	1	p	0.54213
9.09810000000001	0.2	marc	2	verb	list	4	4	match	son	3	1	p	0.54213
9.298099999999998	0.0	+	2	verb	list	4	5	match	son	3	1	p	0.54213
9.698	0.2	son	2	verb	list	4	6	match	son	3	1	p	0.54213
9.898000000000003	0.0	+	2	verb	list	4	7	match	son	3	1	p	0.54213
10.298000000000009	0.2	rouler	2	verb	list	4	8	match	son	3	1	p	0.54213
10.497999999999998	0.0	+	2	verb	list	4	9	match	son	3	1	p	0.54213
10.898000000000003	0.2	vert	2	verb	list	4	10	match	son	3	1	p	0.54213
11.097900000000003	0.0	+	2	verb	list	4	11	match	son	3	1	p	0.54213
11.497900000000008	0.0	+	2	verb	list	4	12	match	son	3	1	p	0.54213
13.497800000000005	0.0	SON	2	verb	list	4	13	match	son	3	1	p	0.54213
14.097699999999996	0.0	+	2	verb	list	4	14	match	son	3	1	p	0.54213
14.03990000000001	0.0	[response]	2	verb	list	4	15	match	son	3	1	p	0.54213
23.897	0.0	+	3	noun	list	3	1	nomatch	beau	-1	1	y	0.6128900000000002
24.446900000000007	0.2	vjzgwkd	3	noun	list	3	2	nomatch	beau	-1	1	y	0.6128900000000002
24.64690000000001	0.0	+	3	noun	list	3	3	nomatch	beau	-1	1	y	0.6128900000000002
25.0469	0.2	cxg	3	noun	list	3	4	nomatch	beau	-1	1	y	0.6128900000000002
25.246900000000004	0.0	+	3	noun	list	3	5	nomatch	beau	-1	1	y	0.6128900000000002
25.646800000000006	0.2	leur	3	noun	list	3	6	nomatch	beau	-1	1	y	0.6128900000000002
25.84680000000001	0.0	+	3	noun	list	3	7	nomatch	beau	-1	1	y	0.6128900000000002
26.2468	0.2	moins	3	noun	list	3	8	nomatch	beau	-1	1	y	0.6128900000000002
26.446800000000003	0.0	+	3	noun	list	3	9	nomatch	beau	-1	1	y	0.6128900000000002
26.846700000000006	0.2	clavier	3	noun	list	3	10	nomatch	beau	-1	1	y	0.6128900000000002
27.04670000000001	0.0	+	3	noun	list	3	11	nomatch	beau	-1	1	y	0.6128900000000002
27.4467	0.0	+	3	noun	list	3	12	nomatch	beau	-1	1	y	0.6128900000000002
29.446500000000007	0.0	BEAU	3	noun	list	3	13	nomatch	beau	-1	1	y	0.6128900000000002
30.129799999999996	0.0	+	3	noun	list	3	14	nomatch	beau	-1	1	y	0.6128900000000002
30.059400000000004	0.0	[response]	3	noun	list	3	15	nomatch	beau	-1	1	y	0.6128900000000002
39.8457	0.0	+	4	noun	phrase	3	1	match	mon	3	1	p	0.71433
40.3957	0.2	zrfxlg	4	noun	phrase	3	2	match	mon	3	1	p	0.71433
40.5957	0.0	+	4	noun	phrase	3	3	match	mon	3	1	p	0.71433
40.9956	0.2	lfnt	4	noun	phrase	3	4	match	mon	3	1	p	0.71433
41.195600000000006	0.0	+	4	noun	phrase	3	5	match	mon	3	1	p	0.71433
