onset	duration	stim	trial_number	trial_type	trial_structure	trial_length	sequential_position	probe_type	probe	probe_position	response_correct	response_key	response_time
0.06530000000000058	0.0	+	1	noun	phrase	2	1	match	panier	4	1	y	0.48934
0.5484000000000009	0.2	dpbkj	1	noun	phrase	2	2	match	panier	4	1	y	0.48934
0.7483000000000004	0.0	+	1	noun	phrase	2	3	match	panier	4	1	y	0.48934
1.1480999999999995	0.2	mkg	1	noun	phrase	2	4	match	panier	4	1	y	0.48934
1.347999999999999	0.0	+	1	noun	phrase	2	5	match	panier	4	1	y	0.48934
1.7479000000000013	0.2	dmf	1	noun	phrase	2	6	match	panier	4	1	y	0.48934
1.9478000000000009	0.0	+	1	noun	phrase	2	7	match	panier	4	1	y	0.48934
2.3476	0.2	panier	1	noun	phrase	2	8	match	panier	4	1	y	0.48934
2.5474999999999994	0.0	+	1	noun	phrase	2	9	match	panier	4	1	y	0.48934
2.9472999999999985	0.2	blanc	1	noun	phrase	2	10	match	panier	4	1	y	0.48934
3.1473000000000013	0.0	+	1	noun	phrase	2	11	match	panier	4	1	y	0.48934
3.5471000000000004	0.0	+	1	noun	phrase	2	12	match	panier	4	1	y	0.48934
5.546199999999999	0.0	PANIER	1	noun	phrase	2	13	match	panier	4	1	y	0.48934
6.0959	0.0	+	1	noun	phrase	2	14	match	panier	4	1	y	0.48934
6.035499999999999	0.0	[response]	1	noun	phrase	2	15	match	panier	4	1	y	0.48934
7.9450999999999965	0.0	+	2	noun	list	4	1	nomatch	peut	-1	1	p	0.5884300000000001
8.494900000000001	0.2	wqds	2	noun	list	4	2	nomatch	peut	-1	1	p	0.5884300000000001
8.6948	0.0	+	2	noun	list	4	3	nomatch	peut	-1	1	p	0.5884300000000001
9.0946	0.2	marc	2	noun	list	4	4	nomatch	peut	-1	1	p	0.5884300000000001
9.2945	0.0	+	2	noun	list	4	5	nomatch	peut	-1	1	p	0.5884300000000001
9.694399999999995	0.2	leur	2	noun	list	4	6	nomatch	peut	-1	1	p	0.5884300000000001
9.894300000000001	0.0	+	2	noun	list	4	7	nomatch	peut	-1	1	p	0.5884300000000001
10.2941	0.2	moins	2	noun	list	4	8	nomatch	peut	-1	1	p	0.5884300000000001
10.494499999999995	0.0	+	2	noun	list	4	9	nomatch	peut	-1	1	p	0.5884300000000001
10.893799999999999	0.2	rocher	2	noun	list	4	10	nomatch	peut	-1	1	p	0.5884300000000001
11.093799999999995	0.0	+	2	noun	list	4	11	nomatch	peut	-1	1	p	0.5884300000000001
11.4936	0.0	+	2	noun	list	4	12	nomatch	peut	-1	1	p	0.5884300000000001
13.4927	0.0	PEUT	2	noun	list	4	13	nomatch	peut	-1	1	p	0.5884300000000001
14.142399999999995	0.0	+	2	noun	list	4	14	nomatch	peut	-1	1	p	0.5884300000000001
14.081099999999992	0.0	[response]	2	noun	list	4	15	nomatch	peut	-1	1	p	0.5884300000000001
15.891599999999997	0.0	+	3	noun	list	2	1	match	panier	4	1	y	0.5785
16.4414	0.2	cvd	3	noun	list	2	2	match	panier	4	1	y	0.5785
