onset	duration	stim	block_number	block_duration	block_condition	sequential_position
0.06579999999999586	0.3	je	1	18.4	sentence	1
0.34900000000000375	0.3	vais	1	18.4	sentence	2
0.7488000000000028	0.3	élaborer	1	18.4	sentence	3
1.1486000000000018	0.3	un	1	18.4	sentence	4
1.5484000000000009	0.3	plan	1	18.4	sentence	5
1.9483000000000033	0.3	qui	1	18.4	sentence	6
2.3481000000000023	0.3	permettra	1	18.4	sentence	7
2.7479000000000013	0.3	de	1	18.4	sentence	8
3.1477000000000004	0.3	redresser	1	18.4	sentence	9
3.5476000000000028	0.3	nos	1	18.4	sentence	10
3.947400000000002	0.3	récentes	1	18.4	sentence	11
4.347200000000001	0.3	pertes	1	18.4	sentence	12
4.747	2.0	+	1	18.4	sentence	13
6.746200000000002	0.3	nous	1	18.4	sentence	14
7.146000000000001	0.3	envisageons	1	18.4	sentence	15
7.5458	0.3	de	1	18.4	sentence	16
7.945599999999999	0.3	bâtir	1	18.4	sentence	17
8.345399999999998	0.3	une	1	18.4	sentence	18
8.7453	0.3	maison	1	18.4	sentence	19
9.1451	0.3	qui	1	18.4	sentence	20
9.544899999999998	0.3	dominera	1	18.4	sentence	21
9.944699999999997	0.3	la	1	18.4	sentence	22
10.3446	0.3	vallée	1	18.4	sentence	23
10.744399999999999	0.3	du	1	18.4	sentence	24
11.144199999999998	0.3	fleuve	1	18.4	sentence	25
11.543999999999997	2.0	+	1	18.4	sentence	26
13.543199999999999	0.3	il	1	18.4	sentence	27
13.942999999999998	0.3	explique	1	18.4	sentence	28
14.342799999999997	0.3	que	1	18.4	sentence	29
14.742599999999996	0.3	son	1	18.4	sentence	30
15.142499999999998	0.3	inspiration	1	18.4	sentence	31
15.542299999999997	0.3	vient	1	18.4	sentence	32
15.942099999999996	0.3	de	1	18.4	sentence	33
16.341899999999995	0.3	ses	1	18.4	sentence	34
16.74170000000001	0.3	voyages	1	18.4	sentence	35
17.141599999999997	0.3	à	1	18.4	sentence	36
17.541399999999996	0.3	la	1	18.4	sentence	37
