onset	duration	stim	block_number	block_duration	block_condition	sequential_position
0.06680000000000064	0.3	je	1	18.4	sentence	1
0.3499999999999943	0.3	vais	1	18.4	sentence	2
0.7498999999999967	0.3	élaborer	1	18.4	sentence	3
1.1496999999999957	0.3	un	1	18.4	sentence	4
1.5494999999999948	0.3	plan	1	18.4	sentence	5
1.9492999999999938	0.3	qui	1	18.4	sentence	6
2.349099999999993	0.3	permettra	1	18.4	sentence	7
2.748899999999992	0.3	de	1	18.4	sentence	8
3.1487999999999943	0.3	redresser	1	18.4	sentence	9
3.5485999999999933	0.3	nos	1	18.4	sentence	10
3.9483999999999924	0.3	récentes	1	18.4	sentence	11
4.348199999999991	0.3	pertes	1	18.4	sentence	12
4.7479999999999905	2.0	+	1	18.4	sentence	13
6.747099999999989	0.3	nous	1	18.4	sentence	14
7.146999999999991	0.3	envisageons	1	18.4	sentence	15
7.54679999999999	0.3	de	1	18.4	sentence	16
7.9465999999999894	0.3	bâtir	1	18.4	sentence	17
8.346399999999988	0.3	une	1	18.4	sentence	18
8.746199999999988	0.3	maison	1	18.4	sentence	19
9.146	0.3	qui	1	18.4	sentence	20
9.545899999999989	0.3	dominera	1	18.4	sentence	21
9.945699999999988	0.3	la	1	18.4	sentence	22
10.345500000000001	0.3	vallée	1	18.4	sentence	23
10.7453	0.3	du	1	18.4	sentence	24
11.1451	0.3	fleuve	1	18.4	sentence	25
11.544999999999987	2.0	+	1	18.4	sentence	26
13.543999999999997	0.3	il	1	18.4	sentence	27
13.9439	0.3	explique	1	18.4	sentence	28
14.343699999999998	0.3	que	1	18.4	sentence	29
14.743499999999997	0.3	son	1	18.4	sentence	30
15.143299999999996	0.3	inspiration	1	18.4	sentence	31
15.543199999999999	0.3	vient	1	18.4	sentence	32
15.942999999999998	0.3	de	1	18.4	sentence	33
16.342799999999997	0.3	ses	1	18.4	sentence	34
16.742599999999996	0.3	voyages	1	18.4	sentence	35
17.142399999999995	0.3	à	1	18.4	sentence	36
17.542199999999994	0.3	la	1	18.4	sentence	37
17.942099999999996	0.3	mer	1	18.4	sentence	38
18.341899999999995	2.0	+	1	18.4	sentence	39
20.340999999999994	8.0	+	1	18.4	sentence	40
28.537299999999988	0.3	za	2	18.4	pseudo	1
28.953699999999998	0.3	fiste	2	18.4	pseudo	2
29.3369	0.3	alnuer	2	18.4	pseudo	3
29.7367	0.3	muo	2	18.4	pseudo	4
30.1532	0.3	ahijours	2	18.4	pseudo	5
30.5364	0.3	vry	2	18.4	pseudo	6
30.952799999999996	0.3	conla	2	18.4	pseudo	7
31.336	0.3	hul	2	18.4	pseudo	8
31.735799999999998	0.3	grilsases	2	18.4	pseudo	9
32.1523	0.3	lo	2	18.4	pseudo	10
32.535399999999996	0.3	gû	2	18.4	pseudo	11
32.951899999999995	0.3	coumi	2	18.4	pseudo	12
33.3351	0.3	cliquez	2	18.4	pseudo	13
34.00139999999999	2.0	+	2	18.4	pseudo	14
35.334199999999996	0.3	co	2	18.4	pseudo	15
35.7007	0.3	monvate	2	18.4	pseudo	16
36.1005	0.3	i	2	18.4	pseudo	17
36.500299999999996	0.3	flipble	2	18.4	pseudo	18
36.900099999999995	0.3	ps	2	18.4	pseudo	19
37.3	0.3	ryan	2	18.4	pseudo	20
37.699799999999996	0.3	he	2	18.4	pseudo	21
38.099599999999995	0.3	er	2	18.4	pseudo	22
38.499399999999994	0.3	aftasant	2	18.4	pseudo	23
38.89919999999999	0.3	er	2	18.4	pseudo	24
39.29899999999999	0.3	tâs	2	18.4	pseudo	25
39.698899999999995	0.3	isièler	2	18.4	pseudo	26
40.098699999999994	2.0	+	2	18.4	pseudo	27
42.09779999999999	0.3	gi	2	18.4	pseudo	28
42.49759999999999	0.3	coudai	2	18.4	pseudo	29
42.89739999999999	0.3	diq	2	18.4	pseudo	30
43.29719999999999	0.3	shomdé	2	18.4	pseudo	31
43.69699999999999	0.3	ui	2	18.4	pseudo	32
44.09689999999999	0.3	qut	2	18.4	pseudo	33
44.49669999999999	0.3	resitre	2	18.4	pseudo	34
44.89649999999999	0.3	irir	2	18.4	pseudo	35
45.29629999999999	0.3	fe	2	18.4	pseudo	36
45.69619999999999	0.3	vobre	2	18.4	pseudo	37
46.09599999999999	0.3	ec	2	18.4	pseudo	38
46.49579999999999	0.3	uir	2	18.4	pseudo	39
46.89559999999999	2.0	+	2	18.4	pseudo	40
48.894699999999986	8.0	+	2	18.4	pseudo	41
57.141000000000005	0.3	le	3	18.4	sentence	1
57.540800000000004	0.3	joueur	3	18.4	sentence	2
57.9406	0.3	sort	3	18.4	sentence	3
58.3404	0.3	la	3	18.4	sentence	4
58.7402	0.3	carte	3	18.4	sentence	5
59.14	0.3	dissimulée	3	18.4	sentence	6
59.5399	0.3	dans	3	18.4	sentence	7
59.9397	0.3	la	3	18.4	sentence	8
60.3395	0.3	doublure	3	18.4	sentence	9
60.7393	0.3	de	3	18.4	sentence	10
61.1391	0.3	sa	3	18.4	sentence	11
61.539	0.3	manche	3	18.4	sentence	12
61.9388	2.0	+	3	18.4	sentence	13
63.9379	0.3	le	3	18.4	sentence	14
64.35439999999998	0.3	coureur	3	18.4	sentence	15
64.7375	0.3	fait	3	18.4	sentence	16
65.1373	0.3	le	3	18.4	sentence	17
65.5371	0.3	tour	3	18.4	sentence	18
65.937	0.3	de	3	18.4	sentence	19
66.3368	0.3	la	3	18.4	sentence	20
66.7366	0.3	piste	3	18.4	sentence	21
