onset	duration	stim	block_number	block_duration	block_condition	sequential_position
0.060000000000002274	0.3	uc	1	18.4	pseudo	1
0.3766000000000105	0.3	jiel	1	18.4	pseudo	2
0.7599000000000018	0.3	folvedie	1	18.4	pseudo	3
1.1599000000000075	0.3	ar	1	18.4	pseudo	4
1.543200000000013	0.3	duff	1	18.4	pseudo	5
1.9598000000000013	0.3	hai	1	18.4	pseudo	6
2.376400000000004	0.3	tuhuvisir	1	18.4	pseudo	7
2.7597000000000094	0.3	zû	1	18.4	pseudo	8
3.159700000000001	0.3	elfercibe	1	18.4	pseudo	9
3.5430000000000064	0.3	spu	1	18.4	pseudo	10
3.959600000000009	0.3	faipadre	1	18.4	pseudo	11
4.3763000000000005	0.3	preslu	1	18.4	pseudo	12
4.759600000000006	2.0	+	1	18.4	pseudo	13
6.7427000000000135	0.3	fe	1	18.4	pseudo	14
7.176000000000002	0.3	notys	1	18.4	pseudo	15
7.5593000000000075	0.3	sat	1	18.4	pseudo	16
7.959300000000013	0.3	ir	1	18.4	pseudo	17
8.375900000000001	0.3	afecler	1	18.4	pseudo	18
8.759200000000007	0.3	cramièté	1	18.4	pseudo	19
9.159200000000013	0.3	he	1	18.4	pseudo	20
9.5591	0.3	disgenquent	1	18.4	pseudo	21
9.959100000000007	0.3	ui	1	18.4	pseudo	22
10.375700000000009	0.3	ros	1	18.4	pseudo	23
10.759	0.3	ansins	1	18.4	pseudo	24
11.159000000000006	0.3	souvons	1	18.4	pseudo	25
11.558900000000008	2.0	+	1	18.4	pseudo	26
13.542100000000005	0.3	ui	1	18.4	pseudo	27
13.975400000000008	0.3	lidesséce	1	18.4	pseudo	28
14.375400000000013	0.3	kuste	1	18.4	pseudo	29
14.758700000000005	0.3	iz	1	18.4	pseudo	30
15.158600000000007	0.3	caint	1	18.4	pseudo	31
15.558600000000013	0.3	pui	1	18.4	pseudo	32
15.958600000000004	0.3	brox	1	18.4	pseudo	33
16.375200000000007	0.3	munu	1	18.4	pseudo	34
16.758500000000012	0.3	apé	1	18.4	pseudo	35
17.1584	0.3	imconlors	1	18.4	pseudo	36
17.558400000000006	0.3	ia	1	18.4	pseudo	37
17.95840000000001	0.3	garle	1	18.4	pseudo	38
18.375	2.0	+	1	18.4	pseudo	39
20.34150000000001	8.0	+	1	18.4	pseudo	40
28.5574	0.3	il	2	18.4	sentence	1
28.974000000000004	0.3	a	2	18.4	sentence	2
29.37400000000001	0.3	brisé	2	18.4	sentence	3
29.7573	0.3	le	2	18.4	sentence	4
30.157300000000006	0.3	bouchon	2	18.4	sentence	5
30.55720000000001	0.3	de	2	18.4	sentence	6
30.9572	0.3	la	2	18.4	sentence	7
31.373800000000003	0.3	bouteille	2	18.4	sentence	8
31.75710000000001	0.3	de	2	18.4	sentence	9
32.157100000000014	0.3	jus	2	18.4	sentence	10
32.557	0.3	de	2	18.4	sentence	11
32.95700000000001	0.3	raisin	2	18.4	sentence	12
33.37360000000001	0.3	cliquez	2	18.4	sentence	13
34.37350000000001	2.0	+	2	18.4	sentence	14
35.35680000000001	0.3	il	2	18.4	sentence	15
35.7068	0.3	sursaute	2	18.4	sentence	16
36.106700000000004	0.3	en	2	18.4	sentence	17
36.50670000000001	0.3	entendant	2	18.4	sentence	18
36.9067	0.3	le	2	18.4	sentence	19
37.3233	0.3	grincement	2	18.4	sentence	20
37.70660000000001	0.3	de	2	18.4	sentence	21
38.107200000000006	0.3	la	2	18.4	sentence	22
38.5065	0.3	lourde	2	18.4	sentence	23
38.90650000000001	0.3	porte	2	18.4	sentence	24
39.32310000000001	0.3	en	2	18.4	sentence	25
39.7064	0.3	bois	2	18.4	sentence	26
40.10640000000001	2.0	+	2	18.4	sentence	27
42.1062	0.3	le	2	18.4	sentence	28
42.522800000000004	0.3	romancier	2	18.4	sentence	29
42.90610000000001	0.3	a	2	18.4	sentence	30
43.32270000000001	0.3	fini	2	18.4	sentence	31
43.706	0.3	le	2	18.4	sentence	32
44.10600000000001	0.3	manuscrit	2	18.4	sentence	33
