onset	duration	stim	trial_number	trial_type	trial_structure	trial_length	sequential_position	probe_type	probe	probe_position	response_correct	response_key	response_time
0.05460000000000065	0.0	+	1	noun	phrase	3	1	match	mon	3	1	y	0.68335
0.5379000000000005	0.2	znkspd	1	noun	phrase	3	2	match	mon	3	1	y	0.68335
0.7378999999999962	0.0	+	1	noun	phrase	3	3	match	mon	3	1	y	0.68335
1.137900000000002	0.2	lnfq	1	noun	phrase	3	4	match	mon	3	1	y	0.68335
1.3378999999999976	0.0	+	1	noun	phrase	3	5	match	mon	3	1	y	0.68335
1.7378999999999962	0.2	mon	1	noun	phrase	3	6	match	mon	3	1	y	0.68335
1.9377999999999957	0.0	+	1	noun	phrase	3	7	match	mon	3	1	y	0.68335
2.3378000000000014	0.2	sablier	1	noun	phrase	3	8	match	mon	3	1	y	0.68335
2.537799999999997	0.0	+	1	noun	phrase	3	9	match	mon	3	1	y	0.68335
2.9377999999999957	0.2	rouge	1	noun	phrase	3	10	match	mon	3	1	y	0.68335
3.1377000000000024	0.0	+	1	noun	phrase	3	11	match	mon	3	1	y	0.68335
3.537700000000001	0.0	+	1	noun	phrase	3	12	match	mon	3	1	y	0.68335
5.537599999999998	0.0	MON	1	noun	phrase	3	13	match	mon	3	1	y	0.68335
6.287499999999994	0.0	+	1	noun	phrase	3	14	match	mon	3	1	y	0.68335
6.2209	0.0	[response]	1	noun	phrase	3	15	match	mon	3	1	y	0.68335
7.937399999999997	0.0	+	2	noun	phrase	1	1	match	noir	5	1	y	0.5230500000000001
8.487300000000005	0.2	vqgtdzf	2	noun	phrase	1	2	match	noir	5	1	y	0.5230500000000001
8.687299999999993	0.0	+	2	noun	phrase	1	3	match	noir	5	1	y	0.5230500000000001
9.087299999999999	0.2	fhsq	2	noun	phrase	1	4	match	noir	5	1	y	0.5230500000000001
9.287300000000002	0.0	+	2	noun	phrase	1	5	match	noir	5	1	y	0.5230500000000001
9.687200000000004	0.2	mwvt	2	noun	phrase	1	6	match	noir	5	1	y	0.5230500000000001
9.887199999999993	0.0	+	2	noun	phrase	1	7	match	noir	5	1	y	0.5230500000000001
10.287199999999999	0.2	rtbdvcn	2	noun	phrase	1	8	match	noir	5	1	y	0.5230500000000001
10.487200000000001	0.0	+	2	noun	phrase	1	9	match	noir	5	1	y	0.5230500000000001
10.887100000000004	0.2	noir	2	noun	phrase	1	10	match	noir	5	1	y	0.5230500000000001
11.087099999999992	0.0	+	2	noun	phrase	1	11	match	noir	5	1	y	0.5230500000000001
11.487099999999998	0.0	+	2	noun	phrase	1	12	match	noir	5	1	y	0.5230500000000001
13.486900000000006	0.0	NOIR	2	noun	phrase	1	13	match	noir	5	1	y	0.5230500000000001
14.0702	0.0	+	2	noun	phrase	1	14	match	noir	5	1	y	0.5230500000000001
14.01000000000002	0.0	[response]	2	noun	phrase	1	15	match	noir	5	1	y	0.5230500000000001
15.886799999999994	0.0	+	3	noun	list	1	1	nomatch	peut	-1	1	p	1.1004
16.436700000000002	0.2	rcmn	3	noun	list	1	2	nomatch	peut	-1	1	p	1.1004
16.636700000000005	0.0	+	3	noun	list	1	3	nomatch	peut	-1	1	p	1.1004
17.036699999999996	0.2	mrzd	3	noun	list	1	4	nomatch	peut	-1	1	p	1.1004
