onset	duration	stim	trial_number	trial_type	trial_structure	trial_length	sequential_position	probe_type	probe	probe_position	response_correct	response_key	response_time
0.06609999999999872	0.0	+	1	noun	phrase	2	1	match	grand	4	1	y	0.5182300000000001
0.549199999999999	0.2	lgwrx	1	noun	phrase	2	2	match	grand	4	1	y	0.5182300000000001
0.7492000000000019	0.0	+	1	noun	phrase	2	3	match	grand	4	1	y	0.5182300000000001
1.149000000000001	0.2	nvmf	1	noun	phrase	2	4	match	grand	4	1	y	0.5182300000000001
1.3489000000000004	0.0	+	1	noun	phrase	2	5	match	grand	4	1	y	0.5182300000000001
1.7486999999999995	0.2	wqp	1	noun	phrase	2	6	match	grand	4	1	y	0.5182300000000001
1.948599999999999	0.0	+	1	noun	phrase	2	7	match	grand	4	1	y	0.5182300000000001
2.348399999999998	0.2	grand	1	noun	phrase	2	8	match	grand	4	1	y	0.5182300000000001
2.548400000000001	0.0	+	1	noun	phrase	2	9	match	grand	4	1	y	0.5182300000000001
2.9482	0.2	tablier	1	noun	phrase	2	10	match	grand	4	1	y	0.5182300000000001
3.1480999999999995	0.0	+	1	noun	phrase	2	11	match	grand	4	1	y	0.5182300000000001
3.548500000000004	0.0	+	1	noun	phrase	2	12	match	grand	4	1	y	0.5182300000000001
5.547000000000004	0.0	GRAND	1	noun	phrase	2	13	match	grand	4	1	y	0.5182300000000001
6.146799999999999	0.0	+	1	noun	phrase	2	14	match	grand	4	1	y	0.5182300000000001
6.065300000000008	0.0	[response]	1	noun	phrase	2	15	match	grand	4	1	y	0.5182300000000001
7.945900000000002	0.0	+	2	verb	phrase	2	1	match	voyager	4	1	y	0.41124
8.4957	0.2	szwjc	2	verb	phrase	2	2	match	voyager	4	1	y	0.41124
8.695599999999999	0.0	+	2	verb	phrase	2	3	match	voyager	4	1	y	0.41124
9.095399999999998	0.2	gxnp	2	verb	phrase	2	4	match	voyager	4	1	y	0.41124
9.2954	0.0	+	2	verb	phrase	2	5	match	voyager	4	1	y	0.41124
9.695300000000003	0.2	vcmh	2	verb	phrase	2	6	match	voyager	4	1	y	0.41124
9.895299999999999	0.0	+	2	verb	phrase	2	7	match	voyager	4	1	y	0.41124
10.2954	0.2	voyager	2	verb	phrase	2	8	match	voyager	4	1	y	0.41124
10.4951	0.0	+	2	verb	phrase	2	9	match	voyager	4	1	y	0.41124
10.895400000000002	0.2	tard	2	verb	phrase	2	10	match	voyager	4	1	y	0.41124
11.094500000000004	0.0	+	2	verb	phrase	2	11	match	voyager	4	1	y	0.41124
11.494400000000006	0.0	+	2	verb	phrase	2	12	match	voyager	4	1	y	0.41124
13.493699999999997	0.0	VOYAGER	2	verb	phrase	2	13	match	voyager	4	1	y	0.41124
13.96	0.0	+	2	verb	phrase	2	14	match	voyager	4	1	y	0.41124
13.904900000000005	0.0	[response]	2	verb	phrase	2	15	match	voyager	4	1	y	0.41124
15.892400000000002	0.0	+	3	verb	phrase	4	1	nomatch	va	-1	1	p	0.67312
16.442200000000007	0.2	lxb	3	verb	phrase	4	2	nomatch	va	-1	1	p	0.67312
16.659399999999998	0.0	+	3	verb	phrase	4	3	nomatch	va	-1	1	p	0.67312
17.0422	0.2	jade	3	verb	phrase	4	4	nomatch	va	-1	1	p	0.67312
17.258699999999997	0.0	+	3	verb	phrase	4	5	nomatch	va	-1	1	p	0.67312
17.641600000000004	0.2	doit	3	verb	phrase	4	6	nomatch	va	-1	1	p	0.67312
17.841500000000003	0.0	+	3	verb	phrase	4	7	nomatch	va	-1	1	p	0.67312
18.241400000000006	0.2	rouler	3	verb	phrase	4	8	nomatch	va	-1	1	p	0.67312
18.441300000000005	0.0	+	3	verb	phrase	4	9	nomatch	va	-1	1	p	0.67312
18.841100000000004	0.2	loin	3	verb	phrase	4	10	nomatch	va	-1	1	p	0.67312
19.041000000000004	0.0	+	3	verb	phrase	4	11	nomatch	va	-1	1	p	0.67312
19.440800000000003	0.0	+	3	verb	phrase	4	12	nomatch	va	-1	1	p	0.67312
21.440500000000007	0.0	VA	3	verb	phrase	4	13	nomatch	va	-1	1	p	0.67312
22.239600000000003	0.0	+	3	verb	phrase	4	14	nomatch	va	-1	1	p	0.67312
22.113599999999998	0.0	[response]	3	verb	phrase	4	15	nomatch	va	-1	1	p	0.67312
23.838900000000002	0.0	+	4	noun	list	3	1	nomatch	mieux	-1	1	p	0.9078400000000001
24.388600000000004	0.2	dqftb	4	noun	list	3	2	nomatch	mieux	-1	1	p	0.9078400000000001
24.588500000000003	0.0	+	4	noun	list	3	3	nomatch	mieux	-1	1	p	0.9078400000000001
24.988300000000002	0.2	gtzv	4	noun	list	3	4	nomatch	mieux	-1	1	p	0.9078400000000001
25.188300000000005	0.0	+	4	noun	list	3	5	nomatch	mieux	-1	1	p	0.9078400000000001
25.588100000000004	0.2	mon	4	noun	list	3	6	nomatch	mieux	-1	1	p	0.9078400000000001
25.788100000000007	0.0	+	4	noun	list	3	7	nomatch	mieux	-1	1	p	0.9078400000000001
26.1881	0.2	plus	4	noun	list	3	8	nomatch	mieux	-1	1	p	0.9078400000000001
26.387800000000006	0.0	+	4	noun	list	3	9	nomatch	mieux	-1	1	p	0.9078400000000001
26.787600000000005	0.2	clavier	4	noun	list	3	10	nomatch	mieux	-1	1	p	0.9078400000000001
26.987500000000004	0.0	+	4	noun	list	3	11	nomatch	mieux	-1	1	p	0.9078400000000001
27.387300000000003	0.0	+	4	noun	list	3	12	nomatch	mieux	-1	1	p	0.9078400000000001
29.386400000000002	0.0	MIEUX	4	noun	list	3	13	nomatch	mieux	-1	1	p	0.9078400000000001
30.352600000000002	0.0	+	4	noun	list	3	14	nomatch	mieux	-1	1	p	0.9078400000000001
30.294199999999996	0.0	[response]	4	noun	list	3	15	nomatch	mieux	-1	1	p	0.9078400000000001
31.7853	0.0	+	5	noun	list	1	1	nomatch	son	-1	1	p	0.7417700000000002
32.335100000000004	0.2	gwdn	5	noun	list	1	2	nomatch	son	-1	1	p	0.7417700000000002
32.535000000000004	0.0	+	5	noun	list	1	3	nomatch	son	-1	1	p	0.7417700000000002
32.9351	0.2	nvmf	5	noun	list	1	4	nomatch	son	-1	1	p	0.7417700000000002
33.1347	0.0	+	5	noun	list	1	5	nomatch	son	-1	1	p	0.7417700000000002
33.5345	0.2	bzct	5	noun	list	1	6	nomatch	son	-1	1	p	0.7417700000000002
33.734500000000004	0.0	+	5	noun	list	1	7	nomatch	son	-1	1	p	0.7417700000000002
34.1343	0.2	dxt	5	noun	list	1	8	nomatch	son	-1	1	p	0.7417700000000002
34.3345	0.0	+	5	noun	list	1	9	nomatch	son	-1	1	p	0.7417700000000002
34.734500000000004	0.2	boîtier	5	noun	list	1	10	nomatch	son	-1	1	p	0.7417700000000002
34.9339	0.0	+	5	noun	list	1	11	nomatch	son	-1	1	p	0.7417700000000002
35.3337	0.0	+	5	noun	list	1	12	nomatch	son	-1	1	p	0.7417700000000002
37.35020000000001	0.0	SON	5	noun	list	1	13	nomatch	son	-1	1	p	0.7417700000000002
38.2664	0.0	+	5	noun	list	1	14	nomatch	son	-1	1	p	0.7417700000000002
38.092000000000006	0.0	[response]	5	noun	list	1	15	nomatch	son	-1	1	p	0.7417700000000002
39.7484	0.0	+	6	noun	phrase	2	1	nomatch	voilier	-1	1	p	0.69934
40.2982	0.2	szmv	6	noun	phrase	2	2	nomatch	voilier	-1	1	p	0.69934
40.4981	0.0	+	6	noun	phrase	2	3	nomatch	voilier	-1	1	p	0.69934
40.898599999999995	0.2	rkh	6	noun	phrase	2	4	nomatch	voilier	-1	1	p	0.69934
41.0978	0.0	+	6	noun	phrase	2	5	nomatch	voilier	-1	1	p	0.69934
41.4977	0.2	wqp	6	noun	phrase	2	6	nomatch	voilier	-1	1	p	0.69934
41.69780000000001	0.0	+	6	noun	phrase	2	7	nomatch	voilier	-1	1	p	0.69934
42.0974	0.2	nouveau	6	noun	phrase	2	8	nomatch	voilier	-1	1	p	0.69934
42.2973	0.0	+	6	noun	phrase	2	9	nomatch	voilier	-1	1	p	0.69934
42.6971	0.2	sablier	6	noun	phrase	2	10	nomatch	voilier	-1	1	p	0.69934
42.897	0.0	+	6	noun	phrase	2	11	nomatch	voilier	-1	1	p	0.69934
43.2969	0.0	+	6	noun	phrase	2	12	nomatch	voilier	-1	1	p	0.69934
45.2965	0.0	VOILIER	6	noun	phrase	2	13	nomatch	voilier	-1	1	p	0.69934
46.0623	0.0	+	6	noun	phrase	2	14	nomatch	voilier	-1	1	p	0.69934
45.995799999999996	0.0	[response]	6	noun	phrase	2	15	nomatch	voilier	-1	1	p	0.69934
47.7117	0.0	+	7	noun	list	1	1	match	clavier	5	1	y	0.60001
48.261599999999994	0.2	jhw	7	noun	list	1	2	match	clavier	5	1	y	0.60001
48.44480000000001	0.0	+	7	noun	list	1	3	match	clavier	5	1	y	0.60001
48.8449	0.2	qsdf	7	noun	list	1	4	match	clavier	5	1	y	0.60001
49.0443	0.0	+	7	noun	list	1	5	match	clavier	5	1	y	0.60001
49.4441	0.2	rdq	7	noun	list	1	6	match	clavier	5	1	y	0.60001
49.644	0.0	+	7	noun	list	1	7	match	clavier	5	1	y	0.60001
50.0438	0.2	wjpk	7	noun	list	1	8	match	clavier	5	1	y	0.60001
50.2438	0.0	+	7	noun	list	1	9	match	clavier	5	1	y	0.60001
50.6436	0.2	clavier	7	noun	list	1	10	match	clavier	5	1	y	0.60001
50.8435	0.0	+	7	noun	list	1	11	match	clavier	5	1	y	0.60001
51.24400000000001	0.0	+	7	noun	list	1	12	match	clavier	5	1	y	0.60001
53.242399999999996	0.0	CLAVIER	7	noun	list	1	13	match	clavier	5	1	y	0.60001
53.90880000000001	0.0	+	7	noun	list	1	14	match	clavier	5	1	y	0.60001
53.842400000000005	0.0	[response]	7	noun	list	1	15	match	clavier	5	1	y	0.60001
55.641299999999994	0.0	+	8	verb	list	1	1	nomatch	chasser	-1	0	TIMEOUT	-1.0
56.1911	0.2	xtzjv	8	verb	list	1	2	nomatch	chasser	-1	0	TIMEOUT	-1.0
56.391	0.0	+	8	verb	list	1	3	nomatch	chasser	-1	0	TIMEOUT	-1.0
56.7908	0.2	tgcf	8	verb	list	1	4	nomatch	chasser	-1	0	TIMEOUT	-1.0
56.9907	0.0	+	8	verb	list	1	5	nomatch	chasser	-1	0	TIMEOUT	-1.0
57.3906	0.2	wqp	8	verb	list	1	6	nomatch	chasser	-1	0	TIMEOUT	-1.0
57.5909	0.0	+	8	verb	list	1	7	nomatch	chasser	-1	0	TIMEOUT	-1.0
57.9904	0.2	thdc	8	verb	list	1	8	nomatch	chasser	-1	0	TIMEOUT	-1.0
58.1902	0.0	+	8	verb	list	1	9	nomatch	chasser	-1	0	TIMEOUT	-1.0
58.589999999999996	0.2	voyager	8	verb	list	1	10	nomatch	chasser	-1	0	TIMEOUT	-1.0
58.789899999999996	0.0	+	8	verb	list	1	11	nomatch	chasser	-1	0	TIMEOUT	-1.0
59.1903	0.0	+	8	verb	list	1	12	nomatch	chasser	-1	0	TIMEOUT	-1.0
61.1889	0.0	CHASSER	8	verb	list	1	13	nomatch	chasser	-1	0	TIMEOUT	-1.0
63.587799999999994	0.0	+	9	verb	phrase	3	1	match	tard	5	1	y	0.72655
64.1875	0.2	vdplx	9	verb	phrase	3	2	match	tard	5	1	y	0.72655
64.38740000000001	0.0	+	9	verb	phrase	3	3	match	tard	5	1	y	0.72655
64.78729999999999	0.2	gpqk	9	verb	phrase	3	4	match	tard	5	1	y	0.72655
64.9872	0.0	+	9	verb	phrase	3	5	match	tard	5	1	y	0.72655
65.387	0.2	peut	9	verb	phrase	3	6	match	tard	5	1	y	0.72655
65.58690000000001	0.0	+	9	verb	phrase	3	7	match	tard	5	1	y	0.72655
65.98670000000001	0.2	nager	9	verb	phrase	3	8	match	tard	5	1	y	0.72655
66.1867	0.0	+	9	verb	phrase	3	9	match	tard	5	1	y	0.72655
66.5865	0.2	tard	9	verb	phrase	3	10	match	tard	5	1	y	0.72655
66.78640000000001	0.0	+	9	verb	phrase	3	11	match	tard	5	1	y	0.72655
67.18620000000001	0.0	+	9	verb	phrase	3	12	match	tard	5	1	y	0.72655
69.18530000000001	0.0	TARD	9	verb	phrase	3	13	match	tard	5	1	y	0.72655
69.9683	0.0	+	9	verb	phrase	3	14	match	tard	5	1	y	0.72655
69.9119	0.0	[response]	9	verb	phrase	3	15	match	tard	5	1	y	0.72655
71.58420000000001	0.0	+	10	noun	phrase	2	1	nomatch	trop	-1	1	p	1.6529
72.13400000000001	0.2	mcgjbqw	10	noun	phrase	2	2	nomatch	trop	-1	1	p	1.6529
72.3339	0.0	+	10	noun	phrase	2	3	nomatch	trop	-1	1	p	1.6529
72.7337	0.2	rkh	10	noun	phrase	2	4	nomatch	trop	-1	1	p	1.6529
72.95089999999999	0.0	+	10	noun	phrase	2	5	nomatch	trop	-1	1	p	1.6529
