onset	duration	stim	block_number	block_duration	block_condition	sequential_position
0.05880000000000507	0.3	elle	1	18.4	sentence	1
0.34199999999999875	0.3	a	1	18.4	sentence	2
0.7419000000000011	0.3	brûlé	1	18.4	sentence	3
1.1417000000000002	0.3	toutes	1	18.4	sentence	4
1.5414999999999992	0.3	les	1	18.4	sentence	5
1.9412999999999982	0.3	lettres	1	18.4	sentence	6
2.3410999999999973	0.3	de	1	18.4	sentence	7
2.7409999999999997	0.3	son	1	18.4	sentence	8
3.1407999999999987	0.3	ancien	1	18.4	sentence	9
3.5405999999999977	0.3	fiancé	1	18.4	sentence	10
3.940400000000011	0.3	trop	1	18.4	sentence	11
4.340299999999999	0.3	infidèle	1	18.4	sentence	12
4.740099999999998	2.0	+	1	18.4	sentence	13
6.739200000000011	0.3	il	1	18.4	sentence	14
7.15570000000001	0.3	va	1	18.4	sentence	15
7.538800000000009	0.3	voir	1	18.4	sentence	16
7.938699999999997	0.3	le	1	18.4	sentence	17
8.355100000000007	0.3	bénévole	1	18.4	sentence	18
8.73830000000001	0.3	qui	1	18.4	sentence	19
9.154800000000009	0.3	taille	1	18.4	sentence	20
9.538000000000011	0.3	de	1	18.4	sentence	21
9.93780000000001	0.3	larges	1	18.4	sentence	22
10.354200000000006	0.3	tranches	1	18.4	sentence	23
10.737400000000008	0.3	de	1	18.4	sentence	24
11.137200000000007	0.3	pain	1	18.4	sentence	25
11.53710000000001	2.0	+	1	18.4	sentence	26
13.536200000000008	0.3	la	1	18.4	sentence	27
13.936000000000007	0.3	cuisinière	1	18.4	sentence	28
14.352500000000006	0.3	fait	1	18.4	sentence	29
14.735600000000005	0.3	griller	1	18.4	sentence	30
15.152100000000004	0.3	des	1	18.4	sentence	31
15.535300000000007	0.3	noisettes	1	18.4	sentence	32
15.935100000000006	0.3	qui	1	18.4	sentence	33
16.351600000000005	0.3	répandent	1	18.4	sentence	34
16.751400000000004	0.3	une	1	18.4	sentence	35
17.151200000000003	0.3	odeur	1	18.4	sentence	36
17.551000000000002	0.3	très	1	18.4	sentence	37
17.950900000000004	0.3	appétissante	1	18.4	sentence	38
18.350700000000003	2.0	+	1	18.4	sentence	39
20.349800000000002	8.0	+	1	18.4	sentence	40
28.54610000000001	0.3	zû	2	18.4	pseudo	1
28.945999999999998	0.3	gâliverte	2	18.4	pseudo	2
29.34580000000001	0.3	i	2	18.4	pseudo	3
29.74560000000001	0.3	jeuma	2	18.4	pseudo	4
30.14540000000001	0.3	os	2	18.4	pseudo	5
30.54520000000001	0.3	enges	2	18.4	pseudo	6
30.94510000000001	0.3	us	2	18.4	pseudo	7
31.34490000000001	0.3	zo	2	18.4	pseudo	8
31.74470000000001	0.3	salgne	2	18.4	pseudo	9
32.14450000000001	0.3	ar	2	18.4	pseudo	10
32.54440000000001	0.3	basaci	2	18.4	pseudo	11
32.94420000000001	0.3	thâpre	2	18.4	pseudo	12
33.34400000000001	0.3	cliquez	2	18.4	pseudo	13
33.91040000000001	2.0	+	2	18.4	pseudo	14
35.34310000000001	0.3	ow	2	18.4	pseudo	15
35.69290000000001	0.3	juslere	2	18.4	pseudo	16
36.09280000000001	0.3	béme	2	18.4	pseudo	17
36.49260000000001	0.3	iz	2	18.4	pseudo	18
36.89240000000001	0.3	sbié	2	18.4	pseudo	19
37.29220000000001	0.3	fe	2	18.4	pseudo	20
37.69210000000001	0.3	aq	2	18.4	pseudo	21
