onset	duration	stim	trial_number	trial_type	trial_structure	trial_length	sequential_position	probe_type	probe	probe_position	response_correct	response_key	response_time
0.06560000000000343	0.0	+	1	verb	phrase	1	1	nomatch	plonger	-1	1	p	0.61505
0.5489000000000033	0.2	cpzmxlf	1	verb	phrase	1	2	nomatch	plonger	-1	1	p	0.61505
0.7488000000000028	0.0	+	1	verb	phrase	1	3	nomatch	plonger	-1	1	p	0.61505
1.1488000000000014	0.2	rmkt	1	verb	phrase	1	4	nomatch	plonger	-1	1	p	0.61505
1.3487999999999971	0.0	+	1	verb	phrase	1	5	nomatch	plonger	-1	1	p	0.61505
1.7486999999999995	0.2	svhw	1	verb	phrase	1	6	nomatch	plonger	-1	1	p	0.61505
1.9487000000000023	0.0	+	1	verb	phrase	1	7	nomatch	plonger	-1	1	p	0.61505
2.348700000000001	0.2	lsgz	1	verb	phrase	1	8	nomatch	plonger	-1	1	p	0.61505
2.5486999999999966	0.0	+	1	verb	phrase	1	9	nomatch	plonger	-1	1	p	0.61505
2.948599999999999	0.2	parader	1	verb	phrase	1	10	nomatch	plonger	-1	1	p	0.61505
3.148600000000002	0.0	+	1	verb	phrase	1	11	nomatch	plonger	-1	1	p	0.61505
3.5486000000000004	0.0	+	1	verb	phrase	1	12	nomatch	plonger	-1	1	p	0.61505
5.548400000000001	0.0	PLONGER	1	verb	phrase	1	13	nomatch	plonger	-1	1	p	0.61505
6.2316999999999965	0.0	+	1	verb	phrase	1	14	nomatch	plonger	-1	1	p	0.61505
6.163499999999999	0.0	[response]	1	verb	phrase	1	15	nomatch	plonger	-1	1	p	0.61505
7.9482	0.0	+	2	noun	phrase	4	1	nomatch	tôt	-1	1	p	0.8798600000000001
8.4981	0.2	hlskwz	2	noun	phrase	4	2	nomatch	tôt	-1	1	p	0.8798600000000001
8.698099999999997	0.0	+	2	noun	phrase	4	3	nomatch	tôt	-1	1	p	0.8798600000000001
9.098100000000002	0.2	dans	2	noun	phrase	4	4	nomatch	tôt	-1	1	p	0.8798600000000001
9.298100000000005	0.0	+	2	noun	phrase	4	5	nomatch	tôt	-1	1	p	0.8798600000000001
9.697999999999993	0.2	son	2	noun	phrase	4	6	nomatch	tôt	-1	1	p	0.8798600000000001
9.897999999999996	0.0	+	2	noun	phrase	4	7	nomatch	tôt	-1	1	p	0.8798600000000001
10.298000000000002	0.2	grand	2	noun	phrase	4	8	nomatch	tôt	-1	1	p	0.8798600000000001
10.498000000000005	0.0	+	2	noun	phrase	4	9	nomatch	tôt	-1	1	p	0.8798600000000001
10.897899999999993	0.2	casier	2	noun	phrase	4	10	nomatch	tôt	-1	1	p	0.8798600000000001
11.097899999999996	0.0	+	2	noun	phrase	4	11	nomatch	tôt	-1	1	p	0.8798600000000001
11.497900000000001	0.0	+	2	noun	phrase	4	12	nomatch	tôt	-1	1	p	0.8798600000000001
13.497699999999995	0.0	TÔT	2	noun	phrase	4	13	nomatch	tôt	-1	1	p	0.8798600000000001
14.447599999999994	0.0	+	2	noun	phrase	4	14	nomatch	tôt	-1	1	p	0.8798600000000001
14.377499999999998	0.0	[response]	2	noun	phrase	4	15	nomatch	tôt	-1	1	p	0.8798600000000001
23.896699999999996	0.0	+	3	noun	list	2	1	nomatch	trop	-1	0	y	0.96047
24.446700000000007	0.2	lbkm	3	noun	list	2	2	nomatch	trop	-1	0	y	0.96047
24.646699999999996	0.0	+	3	noun	list	2	3	nomatch	trop	-1	0	y	0.96047
25.046599999999998	0.2	rmkt	3	noun	list	2	4	nomatch	trop	-1	0	y	0.96047
25.2466	0.0	+	3	noun	list	2	5	nomatch	trop	-1	0	y	0.96047
25.646600000000007	0.2	rbh	3	noun	list	2	6	nomatch	trop	-1	0	y	0.96047
25.846599999999995	0.0	+	3	noun	list	2	7	nomatch	trop	-1	0	y	0.96047
26.246499999999997	0.2	moins	3	noun	list	2	8	nomatch	trop	-1	0	y	0.96047
26.4465	0.0	+	3	noun	list	2	9	nomatch	trop	-1	0	y	0.96047
26.846500000000006	0.2	rocher	3	noun	list	2	10	nomatch	trop	-1	0	y	0.96047
27.046499999999995	0.0	+	3	noun	list	2	11	nomatch	trop	-1	0	y	0.96047
27.446399999999997	0.0	+	3	noun	list	2	12	nomatch	trop	-1	0	y	0.96047
29.446299999999994	0.0	TROP	3	noun	list	2	13	nomatch	trop	-1	0	y	0.96047
30.4628	0.0	+	3	noun	list	2	14	nomatch	trop	-1	0	y	0.96047
30.4067	0.0	[response]	3	noun	list	2	15	nomatch	trop	-1	0	y	0.96047
31.846000000000004	0.0	+	4	noun	list	1	1	nomatch	nager	-1	1	p	1.4239
32.396	0.2	ckwslrz	4	noun	list	1	2	nomatch	nager	-1	1	p	1.4239
32.596000000000004	0.0	+	4	noun	list	1	3	nomatch	nager	-1	1	p	1.4239
32.995900000000006	0.2	cvq	4	noun	list	1	4	nomatch	nager	-1	1	p	1.4239
33.195899999999995	0.0	+	4	noun	list	1	5	nomatch	nager	-1	1	p	1.4239
33.5959	0.2	lgcv	4	noun	list	1	6	nomatch	nager	-1	1	p	1.4239
33.7959	0.0	+	4	noun	list	1	7	nomatch	nager	-1	1	p	1.4239
34.195800000000006	0.2	vwcgz	4	noun	list	1	8	nomatch	nager	-1	1	p	1.4239
34.395799999999994	0.0	+	4	noun	list	1	9	nomatch	nager	-1	1	p	1.4239
34.7958	0.2	cendrier	4	noun	list	1	10	nomatch	nager	-1	1	p	1.4239
34.9957	0.0	+	4	noun	list	1	11	nomatch	nager	-1	1	p	1.4239
35.395700000000005	0.0	+	4	noun	list	1	12	nomatch	nager	-1	1	p	1.4239
37.3955	0.0	NAGER	4	noun	list	1	13	nomatch	nager	-1	1	p	1.4239
38.878699999999995	0.0	+	4	noun	list	1	14	nomatch	nager	-1	1	p	1.4239
38.819500000000005	0.0	[response]	4	noun	list	1	15	nomatch	nager	-1	1	p	1.4239
47.7946	0.0	+	5	noun	list	1	1	nomatch	moins	-1	1	p	0.6046
48.3445	0.2	srh	5	noun	list	1	2	nomatch	moins	-1	1	p	0.6046
48.5445	0.0	+	5	noun	list	1	3	nomatch	moins	-1	1	p	0.6046
48.944500000000005	0.2	vtwj	5	noun	list	1	4	nomatch	moins	-1	1	p	0.6046
49.144499999999994	0.0	+	5	noun	list	1	5	nomatch	moins	-1	1	p	0.6046
49.544399999999996	0.2	rbh	5	noun	list	1	6	nomatch	moins	-1	1	p	0.6046
49.7444	0.0	+	5	noun	list	1	7	nomatch	moins	-1	1	p	0.6046
50.144400000000005	0.2	kpjtcgm	5	noun	list	1	8	nomatch	moins	-1	1	p	0.6046
50.34439999999999	0.0	+	5	noun	list	1	9	nomatch	moins	-1	1	p	0.6046
50.744299999999996	0.2	beaucoup	5	noun	list	1	10	nomatch	moins	-1	1	p	0.6046
50.9443	0.0	+	5	noun	list	1	11	nomatch	moins	-1	1	p	0.6046
51.344300000000004	0.0	+	5	noun	list	1	12	nomatch	moins	-1	1	p	0.6046
53.3441	0.0	MOINS	5	noun	list	1	13	nomatch	moins	-1	1	p	0.6046
54.0107	0.0	+	5	noun	list	1	14	nomatch	moins	-1	1	p	0.6046
53.9487	0.0	[response]	5	noun	list	1	15	nomatch	moins	-1	1	p	0.6046
55.7439	0.0	+	6	noun	list	1	1	match	tard	5	1	y	1.349
56.293800000000005	0.2	qlb	6	noun	list	1	2	match	tard	5	1	y	1.349
56.49379999999999	0.0	+	6	noun	list	1	3	match	tard	5	1	y	1.349
56.8938	0.2	xrfg	6	noun	list	1	4	match	tard	5	1	y	1.349
57.0938	0.0	+	6	noun	list	1	5	match	tard	5	1	y	1.349
57.493700000000004	0.2	tpgs	6	noun	list	1	6	match	tard	5	1	y	1.349
57.69370000000001	0.0	+	6	noun	list	1	7	match	tard	5	1	y	1.349
58.0937	0.2	kbwfhpvq	6	noun	list	1	8	match	tard	5	1	y	1.349
58.29430000000001	0.0	+	6	noun	list	1	9	match	tard	5	1	y	1.349
58.6936	0.2	tard	6	noun	list	1	10	match	tard	5	1	y	1.349
58.893600000000006	0.0	+	6	noun	list	1	11	match	tard	5	1	y	1.349
59.2936	0.0	+	6	noun	list	1	12	match	tard	5	1	y	1.349
61.293400000000005	0.0	TARD	6	noun	list	1	13	match	tard	5	1	y	1.349
62.709900000000005	0.0	+	6	noun	list	1	14	match	tard	5	1	y	1.349
62.642399999999995	0.0	[response]	6	noun	list	1	15	match	tard	5	1	y	1.349
63.693200000000004	0.0	+	7	noun	list	2	1	nomatch	mieux	-1	1	p	1.2994
64.2431	0.2	mnbz	7	noun	list	2	2	nomatch	mieux	-1	1	p	1.2994
64.4431	0.0	+	7	noun	list	2	3	nomatch	mieux	-1	1	p	1.2994
64.8431	0.2	cvq	7	noun	list	2	4	nomatch	mieux	-1	1	p	1.2994
65.043	0.0	+	7	noun	list	2	5	nomatch	mieux	-1	1	p	1.2994
